=== FiPLSim 비드 국부저항 K값 테이블 ===
"모델: K1 = K_base x (D / D_eff)^4,  D_eff = D - 2 x bead_height"
K_base = 0.5 (비드 0mm 기본값)
"급축소 K_c = 0.5 x (1 - beta^2),  급확대 K_e = (1 - beta^2)^2,  beta = D_eff / D"

관경,내경 (mm),비드높이 (mm),유효내경 D_eff (mm),내경축소율 (%),K_contraction,K_expansion,K_c+K_e,K_FiPLSim (K1),dP @ 1m/s (kPa),dP @ 2m/s (kPa)
25A,26.64,0.0,26.64,0.0,0.0000,0.0000,0.0000,0.5000,0.2495,0.9980
25A,26.64,0.5,25.64,3.8,0.0368,0.0054,0.0423,0.5827,0.2908,1.1630
25A,26.64,1.0,24.64,7.5,0.0723,0.0209,0.0931,0.6832,0.3409,1.3637
25A,26.64,1.5,23.64,11.3,0.1063,0.0452,0.1514,0.8063,0.4024,1.6095
25A,26.64,2.0,22.64,15.0,0.1389,0.0771,0.2160,0.9585,0.4783,1.9132
25A,26.64,2.5,21.64,18.8,0.1701,0.1157,0.2858,1.1484,0.5730,2.2921
25A,26.64,3.0,20.64,22.5,0.1999,0.1598,0.3596,1.3876,0.6924,2.7697

32A,35.04,0.0,35.04,0.0,0.0000,0.0000,0.0000,0.5000,0.2495,0.9980
32A,35.04,0.5,34.04,2.9,0.0281,0.0032,0.0313,0.5614,0.2801,1.1205
32A,35.04,1.0,33.04,5.7,0.0554,0.0123,0.0677,0.6325,0.3156,1.2625
32A,35.04,1.5,32.04,8.6,0.0820,0.0269,0.1088,0.7152,0.3569,1.4276
32A,35.04,2.0,31.04,11.4,0.1076,0.0463,0.1540,0.8120,0.4052,1.6207
32A,35.04,2.5,30.04,14.3,0.1325,0.0702,0.2028,0.9256,0.4619,1.8475
32A,35.04,3.0,29.04,17.1,0.1566,0.0981,0.2546,1.0598,0.5289,2.1154

40A,40.90,0.0,40.90,0.0,0.0000,0.0000,0.0000,0.5000,0.2495,0.9980
40A,40.90,0.5,39.90,2.4,0.0242,0.0023,0.0265,0.5520,0.2755,1.1019
40A,40.90,1.0,38.90,4.9,0.0477,0.0091,0.0568,0.6110,0.3049,1.2196
40A,40.90,1.5,37.90,7.3,0.0707,0.0200,0.0906,0.6781,0.3384,1.3535
40A,40.90,2.0,36.90,9.8,0.0930,0.0346,0.1276,0.7547,0.3766,1.5063
40A,40.90,2.5,35.90,12.2,0.1148,0.0527,0.1675,0.8423,0.4203,1.6813
40A,40.90,3.0,34.90,14.7,0.1359,0.0739,0.2099,0.9431,0.4706,1.8824

50A,52.51,0.0,52.51,0.0,0.0000,0.0000,0.0000,0.5000,0.2495,0.9980
50A,52.51,0.5,51.51,1.9,0.0189,0.0014,0.0203,0.5400,0.2694,1.0778
50A,52.51,1.0,50.51,3.8,0.0374,0.0056,0.0429,0.5840,0.2914,1.1657
50A,52.51,1.5,49.51,5.7,0.0555,0.0123,0.0678,0.6327,0.3157,1.2628
50A,52.51,2.0,48.51,7.6,0.0733,0.0215,0.0948,0.6865,0.3425,1.3702
50A,52.51,2.5,47.51,9.5,0.0907,0.0329,0.1236,0.7461,0.3723,1.4892
50A,52.51,3.0,46.51,11.4,0.1077,0.0464,0.1542,0.8124,0.4054,1.6215

65A,62.71,0.0,62.71,0.0,0.0000,0.0000,0.0000,0.5000,0.2495,0.9980
65A,62.71,0.5,61.71,1.6,0.0158,0.0010,0.0168,0.5332,0.2661,1.0643
65A,62.71,1.0,60.71,3.2,0.0314,0.0039,0.0353,0.5692,0.2840,1.1362
65A,62.71,1.5,59.71,4.8,0.0467,0.0087,0.0554,0.6083,0.3035,1.2142
65A,62.71,2.0,58.71,6.4,0.0618,0.0153,0.0770,0.6508,0.3248,1.2991
65A,62.71,2.5,57.71,8.0,0.0766,0.0234,0.1000,0.6971,0.3479,1.3915
65A,62.71,3.0,56.71,9.6,0.0911,0.0332,0.1243,0.7476,0.3731,1.4922

80A,77.92,0.0,77.92,0.0,0.0000,0.0000,0.0000,0.5000,0.2495,0.9980
80A,77.92,0.5,76.92,1.3,0.0128,0.0007,0.0134,0.5265,0.2627,1.0509
80A,77.92,1.0,75.92,2.6,0.0253,0.0026,0.0279,0.5548,0.2768,1.1074
80A,77.92,1.5,74.92,3.9,0.0378,0.0057,0.0435,0.5850,0.2919,1.1677
80A,77.92,2.0,73.92,5.1,0.0500,0.0100,0.0600,0.6173,0.3080,1.2322
80A,77.92,2.5,72.92,6.4,0.0621,0.0154,0.0775,0.6519,0.3253,1.3012
80A,77.92,3.0,71.92,7.7,0.0740,0.0219,0.0960,0.6889,0.3438,1.3751

