유량 (LPM),비드 높이 (mm),p_b,기대 비드 수,실측 평균 비드 수,평균 수압 (MPa),표준편차 (MPa),최솟값 (MPa),최댓값 (MPa),Pf (%),판정
1200,0.0,0.1,3.2,3.2,0.311222,0.0,0.311222,0.311222,0.0,PASS
1200,0.0,0.3,9.6,9.6,0.311222,0.0,0.311222,0.311222,0.0,PASS
1200,0.0,0.5,16.0,16.0,0.311222,0.0,0.311222,0.311222,0.0,PASS
1200,0.0,0.7,22.4,22.4,0.311222,0.0,0.311222,0.311222,0.0,PASS
1200,0.0,0.9,28.8,28.8,0.311222,0.0,0.311222,0.311222,0.0,PASS
1600,0.0,0.1,3.2,3.2,0.243453,0.0,0.243453,0.243453,0.0,PASS
1600,0.0,0.3,9.6,9.6,0.243453,0.0,0.243453,0.243453,0.0,PASS
1600,0.0,0.5,16.0,16.0,0.243453,0.0,0.243453,0.243453,0.0,PASS
1600,0.0,0.7,22.4,22.4,0.243453,0.0,0.243453,0.243453,0.0,PASS
1600,0.0,0.9,28.8,28.8,0.243453,0.0,0.243453,0.243453,0.0,PASS
2100,0.0,0.1,3.2,3.2,0.132023,0.0,0.132023,0.132023,0.0,PASS
2100,0.0,0.3,9.6,9.6,0.132023,0.0,0.132023,0.132023,0.0,PASS
2100,0.0,0.5,16.0,16.0,0.132023,0.0,0.132023,0.132023,0.0,PASS
2100,0.0,0.7,22.4,22.3,0.132023,0.0,0.132023,0.132023,0.0,PASS
2100,0.0,0.9,28.8,28.8,0.132023,0.0,0.132023,0.132023,0.0,PASS
