campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa
B2,uni,2240,0,0.0,0.429688
B2,uni,2240,2,0.0,0.429688
B2,uni,2240,4,0.0,0.429688
B2,uni,2240,0,0.5,0.429688
B2,uni,2240,2,0.5,0.430469
B2,uni,2240,4,0.5,0.430859
B2,uni,2240,0,1.0,0.429688
B2,uni,2240,2,1.0,0.430859
B2,uni,2240,4,1.0,0.432422
B2,uni,2240,0,1.5,0.429688
B2,uni,2240,2,1.5,0.431641
B2,uni,2240,4,1.5,0.434375
B2,uni,2240,0,2.0,0.429688
B2,uni,2240,2,2.0,0.432813
B2,uni,2240,4,2.0,0.436328
B2,uni,2240,0,2.5,0.429688
B2,uni,2240,2,2.5,0.433594
B2,uni,2240,4,2.5,0.438281
B2,uni,2240,0,3.0,0.429688
B2,uni,2240,2,3.0,0.434766
B2,uni,2240,4,3.0,0.440625
B2,uni,2320,0,0.0,0.453516
B2,uni,2320,2,0.0,0.453516
B2,uni,2320,4,0.0,0.453516
B2,uni,2320,0,0.5,0.453516
B2,uni,2320,2,0.5,0.453906
B2,uni,2320,4,0.5,0.454688
B2,uni,2320,0,1.0,0.453516
B2,uni,2320,2,1.0,0.454688
B2,uni,2320,4,1.0,0.456641
B2,uni,2320,0,1.5,0.453516
B2,uni,2320,2,1.5,0.455859
B2,uni,2320,4,1.5,0.458203
B2,uni,2320,0,2.0,0.453516
B2,uni,2320,2,2.0,0.456641
B2,uni,2320,4,2.0,0.460547
B2,uni,2320,0,2.5,0.453516
B2,uni,2320,2,2.5,0.457813
B2,uni,2320,4,2.5,0.462891
B2,uni,2320,0,3.0,0.453516
B2,uni,2320,2,3.0,0.458984
B2,uni,2320,4,3.0,0.465234
B2,uni,2400,0,0.0,0.478125
B2,uni,2400,2,0.0,0.478125
B2,uni,2400,4,0.0,0.478125
B2,uni,2400,0,0.5,0.478125
B2,uni,2400,2,0.5,0.478516
B2,uni,2400,4,0.5,0.479687
B2,uni,2400,0,1.0,0.478125
B2,uni,2400,2,1.0,0.479687
B2,uni,2400,4,1.0,0.48125
B2,uni,2400,0,1.5,0.478125
B2,uni,2400,2,1.5,0.480469
B2,uni,2400,4,1.5,0.483203
B2,uni,2400,0,2.0,0.478125
B2,uni,2400,2,2.0,0.481641
B2,uni,2400,4,2.0,0.485547
B2,uni,2400,0,2.5,0.478125
B2,uni,2400,2,2.5,0.482422
B2,uni,2400,4,2.5,0.487891
B2,uni,2400,0,3.0,0.478125
B2,uni,2400,2,3.0,0.483984
B2,uni,2400,4,3.0,0.490625
B2,uni,2480,0,0.0,0.503516
B2,uni,2480,2,0.0,0.503516
B2,uni,2480,4,0.0,0.503516
B2,uni,2480,0,0.5,0.503516
B2,uni,2480,2,0.5,0.504297
B2,uni,2480,4,0.5,0.505078
B2,uni,2480,0,1.0,0.503516
B2,uni,2480,2,1.0,0.505078
B2,uni,2480,4,1.0,0.507031
B2,uni,2480,0,1.5,0.503516
B2,uni,2480,2,1.5,0.505859
B2,uni,2480,4,1.5,0.508984
B2,uni,2480,0,2.0,0.503516
B2,uni,2480,2,2.0,0.507031
B2,uni,2480,4,2.0,0.511328
B2,uni,2480,0,2.5,0.503516
B2,uni,2480,2,2.5,0.508203
B2,uni,2480,4,2.5,0.514062
B2,uni,2480,0,3.0,0.503516
B2,uni,2480,2,3.0,0.509766
B2,uni,2480,4,3.0,0.516797
B2,uni,2560,0,0.0,0.529687
B2,uni,2560,2,0.0,0.529687
B2,uni,2560,4,0.0,0.529687
B2,uni,2560,0,0.5,0.529687
B2,uni,2560,2,0.5,0.530469
B2,uni,2560,4,0.5,0.53125
B2,uni,2560,0,1.0,0.529687
B2,uni,2560,2,1.0,0.53125
B2,uni,2560,4,1.0,0.533203
B2,uni,2560,0,1.5,0.529687
B2,uni,2560,2,1.5,0.532422
B2,uni,2560,4,1.5,0.535547
B2,uni,2560,0,2.0,0.529687
B2,uni,2560,2,2.0,0.533594
B2,uni,2560,4,2.0,0.538281
B2,uni,2560,0,2.5,0.529687
B2,uni,2560,2,2.5,0.534766
B2,uni,2560,4,2.5,0.541016
B2,uni,2560,0,3.0,0.529687
B2,uni,2560,2,3.0,0.536328
B2,uni,2560,4,3.0,0.544141
B2,uni,2640,0,0.0,0.556641
B2,uni,2640,2,0.0,0.556641
B2,uni,2640,4,0.0,0.556641
B2,uni,2640,0,0.5,0.556641
B2,uni,2640,2,0.5,0.557422
B2,uni,2640,4,0.5,0.558594
B2,uni,2640,0,1.0,0.556641
B2,uni,2640,2,1.0,0.558594
B2,uni,2640,4,1.0,0.560547
B2,uni,2640,0,1.5,0.556641
B2,uni,2640,2,1.5,0.559766
B2,uni,2640,4,1.5,0.562891
B2,uni,2640,0,2.0,0.556641
B2,uni,2640,2,2.0,0.560937
B2,uni,2640,4,2.0,0.565625
B2,uni,2640,0,2.5,0.556641
B2,uni,2640,2,2.5,0.562109
B2,uni,2640,4,2.5,0.56875
B2,uni,2640,0,3.0,0.556641
B2,uni,2640,2,3.0,0.563672
B2,uni,2640,4,3.0,0.571875
B2,uni,2720,0,0.0,0.584375
B2,uni,2720,2,0.0,0.584375
B2,uni,2720,4,0.0,0.584375
B2,uni,2720,0,0.5,0.584375
B2,uni,2720,2,0.5,0.585547
B2,uni,2720,4,0.5,0.586328
B2,uni,2720,0,1.0,0.584375
B2,uni,2720,2,1.0,0.586328
B2,uni,2720,4,1.0,0.588672
B2,uni,2720,0,1.5,0.584375
B2,uni,2720,2,1.5,0.5875
B2,uni,2720,4,1.5,0.591406
B2,uni,2720,0,2.0,0.584375
B2,uni,2720,2,2.0,0.589063
B2,uni,2720,4,2.0,0.594141
B2,uni,2720,0,2.5,0.584375
B2,uni,2720,2,2.5,0.590234
B2,uni,2720,4,2.5,0.597266
B2,uni,2720,0,3.0,0.584375
B2,uni,2720,2,3.0,0.592188
B2,uni,2720,4,3.0,0.600781
B2,uni,2800,0,0.0,0.613281
B2,uni,2800,2,0.0,0.613281
B2,uni,2800,4,0.0,0.613281
B2,uni,2800,0,0.5,0.613281
B2,uni,2800,2,0.5,0.614063
B2,uni,2800,4,0.5,0.615234
B2,uni,2800,0,1.0,0.613281
B2,uni,2800,2,1.0,0.615234
B2,uni,2800,4,1.0,0.617578
B2,uni,2800,0,1.5,0.613281
B2,uni,2800,2,1.5,0.616406
B2,uni,2800,4,1.5,0.620313
B2,uni,2800,0,2.0,0.613281
B2,uni,2800,2,2.0,0.617969
B2,uni,2800,4,2.0,0.623437
B2,uni,2800,0,2.5,0.613281
B2,uni,2800,2,2.5,0.619531
B2,uni,2800,4,2.5,0.626563
B2,uni,2800,0,3.0,0.613281
B2,uni,2800,2,3.0,0.621094
B2,uni,2800,4,3.0,0.630469
B2,uni,2880,0,0.0,0.642578
B2,uni,2880,2,0.0,0.642578
B2,uni,2880,4,0.0,0.642578
B2,uni,2880,0,0.5,0.642578
B2,uni,2880,2,0.5,0.64375
B2,uni,2880,4,0.5,0.644922
B2,uni,2880,0,1.0,0.642578
B2,uni,2880,2,1.0,0.644922
B2,uni,2880,4,1.0,0.647656
B2,uni,2880,0,1.5,0.642578
B2,uni,2880,2,1.5,0.646094
B2,uni,2880,4,1.5,0.650391
B2,uni,2880,0,2.0,0.642578
B2,uni,2880,2,2.0,0.647656
B2,uni,2880,4,2.0,0.653516
B2,uni,2880,0,2.5,0.642578
B2,uni,2880,2,2.5,0.649219
B2,uni,2880,4,2.5,0.657031
B2,uni,2880,0,3.0,0.642578
B2,uni,2880,2,3.0,0.651172
B2,uni,2880,4,3.0,0.660938
B2,bi,2240,0,0.0,0.436719
B2,bi,2240,2,0.0,0.436719
B2,bi,2240,4,0.0,0.436719
B2,bi,2240,0,0.5,0.436719
B2,bi,2240,2,0.5,0.437109
B2,bi,2240,4,0.5,0.437891
B2,bi,2240,0,1.0,0.436719
B2,bi,2240,2,1.0,0.437891
B2,bi,2240,4,1.0,0.439453
B2,bi,2240,0,1.5,0.436719
B2,bi,2240,2,1.5,0.438672
B2,bi,2240,4,1.5,0.441406
B2,bi,2240,0,2.0,0.436719
B2,bi,2240,2,2.0,0.439844
B2,bi,2240,4,2.0,0.443359
B2,bi,2240,0,2.5,0.436719
B2,bi,2240,2,2.5,0.440625
B2,bi,2240,4,2.5,0.445312
B2,bi,2240,0,3.0,0.436719
B2,bi,2240,2,3.0,0.441797
B2,bi,2240,4,3.0,0.447656
B2,bi,2320,0,0.0,0.460938
B2,bi,2320,2,0.0,0.460938
B2,bi,2320,4,0.0,0.460938
B2,bi,2320,0,0.5,0.460938
