campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
D1,uni,2360,0.529356,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.16312694400749836,0.00024024403884472718,0.16272240301056523,0.16313362324023026,0.16351358562177815
D1,uni,2360,0.529356,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.1624550771205169,0.0003037258292504936,0.16194423442539121,0.16245920105771328,0.1629427065579436
D1,uni,2360,0.529356,3,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.16196028026871914,0.00033437927500960357,0.1613967196023849,0.16196515953872836,0.16250463347586935
D1,uni,2360,0.529356,4,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.16073654276350563,0.0004819316963247179,0.15993041359964813,0.16074765381478828,0.16150511135896325
D1,uni,2360,0.529356,1,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.16310781401784952,0.00047575475617262766,0.16227915328199724,0.16313675929646695,0.16386669431411857
D1,uni,2360,0.529356,2,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.1624160482974051,0.0006030568893734742,0.16137749845963834,0.16243952057377226,0.16336078104294338
D1,uni,2360,0.529356,3,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.16190509644848322,0.0006644666692516774,0.16075683072278218,0.16193049777778493,0.1629475198105564
D1,uni,2360,0.529356,4,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.16064500823443928,0.0009599083343516523,0.15900749002872958,0.16069183385807526,0.1621345175929608
D1,uni,2360,0.529356,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.1630586642932926,0.0006922810678398653,0.16179703565915024,0.16313989331001064,0.1639966738305076
D1,uni,2360,0.529356,2,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.16232532742224626,0.0008792507080846941,0.16076440386371718,0.16239509147606718,0.16363872391036693
D1,uni,2360,0.529356,3,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.1617816747836719,0.0009699423494128062,0.1600514866327714,0.1618545994413486,0.16323092588227858
D1,uni,2360,0.529356,4,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.16043773725070742,0.0014102584899095595,0.15795468506196098,0.16055831815835264,0.16254229932648148
D1,uni,2360,0.529356,1,1.5,0.25,10000,0.0,0.0,0.00038401247776654115,0.1626250807689446,0.0002655580684929656,0.16217774674647856,0.16263258757182752,0.16305215855056654
D1,uni,2360,0.529356,2,1.5,0.25,10000,0.0,0.0,0.00038401247776654115,0.16156833868689047,0.00033570751473524914,0.16100340993190057,0.16157308164738265,0.16210713461722415
D1,uni,2360,0.529356,3,1.5,0.25,10000,0.0,0.0,0.00038401247776654115,0.16079065034745885,0.00036958073981408634,0.16016759303334893,0.16079629349029917,0.16139210898770487
D1,uni,2360,0.529356,4,1.5,0.25,10000,0.0,0.0,0.00038401247776654115,0.1588312520926622,0.0005414329831648311,0.1579251372586741,0.1588444671927409,0.15969467373795104
D1,uni,2360,0.529356,1,1.5,0.5,10000,0.0,0.0,0.00038401247776654115,0.16260733420250348,0.0005339372001591132,0.1616866423119694,0.16263605332380343,0.1634414480810116
D1,uni,2360,0.529356,2,1.5,0.5,10000,0.0,0.0,0.00038401247776654115,0.1615304907000655,0.0006756251611828192,0.1603758603021539,0.16155161277490035,0.16259357360597096
D1,uni,2360,0.529356,3,1.5,0.5,10000,0.0,0.0,0.00038401247776654115,0.16073657927959822,0.0007442289720099163,0.15945777774213377,0.16075993328536733,0.16192335389384344
D1,uni,2360,0.529356,4,1.5,0.5,10000,0.0,0.0,0.00038401247776654115,0.15873961801353967,0.001092587019626265,0.1568727256007707,0.15878577462204368,0.16045098074731004
D1,uni,2360,0.529356,1,1.5,0.75,10000,0.0,0.0,0.00038401247776654115,0.1625708129160367,0.0007995878269408215,0.1611515345345338,0.16263951677276817,0.16380016815737633
D1,uni,2360,0.529356,2,1.5,0.75,10000,0.0,0.0,0.00038401247776654115,0.16146044931430478,0.0010137619714282147,0.1596969615450067,0.16151691931928178,0.16301093121216087
D1,uni,2360,0.529356,3,1.5,0.75,10000,0.0,0.0,0.00038401247776654115,0.16063991355225982,0.001117699648583508,0.15867663855406555,0.16070172521180676,0.16235922818206436
D1,uni,2360,0.529356,4,1.5,0.75,10000,0.0,0.0,0.00038401247776654115,0.15857151079570897,0.001648803746611786,0.15570237181889401,0.15868139427346314,0.16107337124320037
D1,uni,2360,0.529356,1,2.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.16206983618074364,0.0002941053464989968,0.16157416979320338,0.16207830334862472,0.1625425425172944
D1,uni,2360,0.529356,2,2.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.1605872754924478,0.0003718025141360703,0.15996151987278837,0.1605927490650805,0.16118382546904533
D1,uni,2360,0.529356,3,2.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.15949659859240237,0.00040932238274402636,0.1588062922665623,0.1595030576082669,0.1601625105524882
D1,uni,2360,0.529356,4,2.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.1566976145621429,0.0006102638138091758,0.15567681087059113,0.1567114064239015,0.15766833220442342
D1,uni,2360,0.529356,1,2.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.16204987610318763,0.0005919426362389211,0.16102887481729755,0.16208214127652032,0.1629725540820947
D1,uni,2360,0.529356,2,2.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.1605448112547831,0.0007489540730784535,0.15926478602464256,0.16056838692309142,0.16172192849673664
D1,uni,2360,0.529356,3,2.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.1594359562992315,0.000825038810030689,0.15801748699830656,0.1594620583467659,0.16075171316147668
D1,uni,2360,0.529356,4,2.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.15659291434363024,0.0012330059470910988,0.1544856300490298,0.1566455163841637,0.15851718441588417
