campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa
A1,uni,2560.0,0.537488,0,0.0,0.10000022851834477,2.2851834476089739e-07,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,1,0.0,0.10000022851834477,2.2851834476089739e-07,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,2,0.0,0.10000022851834477,2.2851834476089739e-07,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,3,0.0,0.10000022851834477,2.2851834476089739e-07,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,4,0.0,0.10000022851834477,2.2851834476089739e-07,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,0,0.5,0.10000022851834477,2.2851834476089739e-07,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,1,0.5,0.0995153375345466,-0.00048466246545340874,FAIL,0.122426,0.315062,0.000485,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,2,0.5,0.09914409287507613,-0.0008559071249238798,FAIL,0.122426,0.315062,0.000856,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,3,0.5,0.09887134169668964,-0.0011286583033103675,FAIL,0.122426,0.315062,0.001129,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,4,0.5,0.09820135910874138,-0.0017986408912586266,FAIL,0.122426,0.315062,0.001799,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,0,1.0,0.10000022851834477,2.2851834476089739e-07,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,1,1.0,0.09898100735272074,-0.0010189926472792682,FAIL,0.122426,0.315062,0.001019,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,2,1.0,0.09820066614778981,-0.0017993338522101915,FAIL,0.122426,0.315062,0.0018,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,3,1.0,0.0976273542421263,-0.002372645757873701,FAIL,0.122426,0.315062,0.002373,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,4,1.0,0.09619790915872443,-0.003802090841275571,FAIL,0.122426,0.315062,0.003802,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,0,1.5,0.10000022851834477,2.2851834476089739e-07,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,1,1.5,0.09839106377364241,-0.0016089362263575907,FAIL,0.122426,0.315062,0.001609,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,2,1.5,0.0971590470159797,-0.0028409529840203035,FAIL,0.122426,0.315062,0.002841,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,3,1.5,0.09625389184708465,-0.003746108152915359,FAIL,0.122426,0.315062,0.003746,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,4,1.5,0.09396077291039416,-0.006039227089605845,FAIL,0.122426,0.315062,0.006039,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,0,2.0,0.10000022851834477,2.2851834476089739e-07,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,1,2.0,0.09773841400628729,-0.0022615859937127197,FAIL,0.122426,0.315062,0.002262,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,2,2.0,0.09600671227049327,-0.003993287729506731,FAIL,0.122426,0.315062,0.003994,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,3,2.0,0.09473444160746096,-0.0052655583925390465,FAIL,0.122426,0.315062,0.005266,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,4,2.0,0.09145579723946688,-0.008544202760533123,FAIL,0.122426,0.315062,0.008544,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,0,2.5,0.10000022851834477,2.2851834476089739e-07,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,1,2.5,0.09701488710363369,-0.0029851128963663126,FAIL,0.122426,0.315062,0.002985,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,2,2.5,0.09472923508299551,-0.005270764917004497,FAIL,0.122426,0.315062,0.005271,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,3,2.5,0.09304998053722056,-0.0069500194627794415,FAIL,0.122426,0.315062,0.00695,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,4,2.5,0.08864273486385081,-0.011357265136149194,FAIL,0.122426,0.315062,0.011357,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,0,3.0,0.10000022851834477,2.2851834476089739e-07,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,1,3.0,0.09621104252851741,-0.0037889574714825985,FAIL,0.122426,0.315062,0.003789,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,2,3.0,0.09330994700505583,-0.006690052994944171,FAIL,0.122426,0.315062,0.00669,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,3,3.0,0.09117852988577795,-0.00882147011422206,FAIL,0.122426,0.315062,0.008822,0.03940645057958407,0.0,0.08366353436480117
A1,uni,2560.0,0.537488,4,3.0,0.08547394174580512,-0.014526058254194882,FAIL,0.122426,0.315062,0.014526,0.03940645057958407,0.0,0.08366353436480117
A1,bi,2560.0,0.537488,0,0.0,0.09066572148587841,-0.009334278514121594,FAIL,0.096284,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
A1,bi,2560.0,0.537488,1,0.0,0.09066572148587841,-0.009334278514121594,FAIL,0.096284,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
A1,bi,2560.0,0.537488,2,0.0,0.09066572148587841,-0.009334278514121594,FAIL,0.096284,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
A1,bi,2560.0,0.537488,3,0.0,0.09066572148587841,-0.009334278514121594,FAIL,0.096284,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
A1,bi,2560.0,0.537488,4,0.0,0.09066572148587841,-0.009334278514121594,FAIL,0.096284,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
A1,bi,2560.0,0.537488,0,0.5,0.09066572148587841,-0.009334278514121594,FAIL,0.096284,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
A1,bi,2560.0,0.537488,1,0.5,0.09018083050208024,-0.009819169497919764,FAIL,0.096284,0.3505389964309059,0.000485,0.0029422567018097677,0.04243046206610476,0.08366353436480117
