campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
C1,uni,2240.0,0.456,1,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09434551074851948,0.00021643358397502625,0.09398106358782365,0.09435152800616016,0.0946938325245555
C1,uni,2240.0,0.458,1,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09634551074851948,0.00021643358397502625,0.09598106358782366,0.09635152800616016,0.0966938325245555
C1,uni,2240.0,0.46,1,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09834551074851948,0.00021643358397502625,0.09798106358782366,0.09835152800616016,0.0986938325245555
C1,uni,2240.0,0.462,1,1.0,0.25,10000,0.0597,0.055223063241146876,0.06451509814677434,0.10034551074851947,0.00021643358397502625,0.09998106358782366,0.10035152800616016,0.10069383252455551
C1,uni,2240.0,0.464,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10234551074851947,0.00021643358397502625,0.10198106358782366,0.10235152800616017,0.10269383252455551
C1,uni,2240.0,0.466,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10434551074851947,0.00021643358397502625,0.10398106358782366,0.10435152800616017,0.10469383252455551
C1,uni,2240.0,0.468,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10634551074851947,0.00021643358397502625,0.10598106358782367,0.10635152800616017,0.10669383252455551
C1,uni,2240.0,0.47,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.10834551074851943,0.00021643358397502595,0.10798106358782361,0.10835152800616012,0.10869383252455546
C1,uni,2240.0,0.472,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11034551074851945,0.00021643358397503,0.10998106358782361,0.11035152800616013,0.11069383252455547
C1,uni,2240.0,0.474,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11234551074851945,0.00021643358397502595,0.11198106358782363,0.11235152800616013,0.11269383252455548
C1,uni,2240.0,0.476,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11434551074851948,0.00021643358397502595,0.11398106358782363,0.11435152800616014,0.11469383252455548
C1,uni,2240.0,0.478,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11634551074851945,0.00021643358397502595,0.11598106358782363,0.11635152800616014,0.11669383252455548
C1,uni,2240.0,0.48,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.11834551074851946,0.00021643358397502595,0.11798106358782363,0.11835152800616014,0.11869383252455548
C1,uni,2240.0,0.482,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.12034551074851947,0.00021643358397502598,0.11998106358782364,0.12035152800616014,0.12069383252455548
C1,uni,2240.0,0.456,2,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.0937646201149049,0.00026944943995943136,0.09331397051606778,0.09376868118006,0.09419768458343489
C1,uni,2240.0,0.458,2,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09576462011490489,0.00026944943995943136,0.09531397051606778,0.09576868118006,0.09619768458343489
C1,uni,2240.0,0.46,2,1.0,0.25,10000,1.0,0.9996159875222334,0.9999999999999999,0.09776462011490489,0.00026944943995943136,0.09731397051606779,0.09776868118006,0.09819768458343489
