campaign,topology,case,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pressure_margin_mpa,pass_fail,extra_inlet_loss_mpa
A1,uni,BI-2_plus2,2240.0,0.453674,0,0.0,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-2_plus2,2240.0,0.453674,0,0.0,0.06950474098435185,-0.03049525901564816,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,1,0.0,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-2_plus2,2240.0,0.453674,1,0.0,0.06950474098435185,-0.03049525901564816,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,2,0.0,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-2_plus2,2240.0,0.453674,2,0.0,0.06950474098435185,-0.03049525901564816,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,3,0.0,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-2_plus2,2240.0,0.453674,3,0.0,0.06950474098435185,-0.03049525901564816,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,4,0.0,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-2_plus2,2240.0,0.453674,4,0.0,0.06950474098435185,-0.03049525901564816,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,0,0.5,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-2_plus2,2240.0,0.453674,0,0.5,0.06950474098435185,-0.03049525901564816,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,1,0.5,0.09962994829130209,-0.00037005170869791604,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,1,0.5,0.06913349632488137,-0.03086650367511863,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,2,0.5,0.09935719711291566,-0.0006428028870843483,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,2,0.5,0.06886074514649494,-0.031139254853505063,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,3,0.5,0.0986872145249674,-0.0013127854750326073,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,3,0.5,0.06819076255854668,-0.03180923744145332,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,4,0.5,0.09825842566868057,-0.0017415743313194398,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,4,0.5,0.06776197370225985,-0.032238026297740155,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,0,1.0,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-2_plus2,2240.0,0.453674,0,1.0,0.06950474098435185,-0.03049525901564816,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,1,1.0,0.09922085174584169,-0.0007791482541583128,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,1,1.0,0.06872439977942098,-0.03127560022057903,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,2,1.0,0.09864753984017818,-0.0013524601598218222,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,2,1.0,0.06815108787375747,-0.03184891212624254,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,3,1.0,0.09721809475677631,-0.0027819052432236924,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,3,1.0,0.0667216427903556,-0.03327835720964441,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,4,1.0,0.09630324990339914,-0.003696750096600865,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,4,1.0,0.06580679793697843,-0.03419320206302158,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,0,1.5,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-2_plus2,2240.0,0.453674,0,1.5,0.06950474098435185,-0.03049525901564816,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,1,1.5,0.09876917619310985,-0.0012308238068901578,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,1,1.5,0.06827272422668913,-0.03172727577331087,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,2,1.5,0.09786402102421479,-0.0021359789757852132,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,2,1.5,0.06736756905779408,-0.03263243094220593,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,3,1.5,0.09557090208752436,-0.0044290979124756436,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,3,1.5,0.06507445012110365,-0.03492554987889636,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,4,1.5,0.09410330596804248,-0.005896694031957528,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,4,1.5,0.06360685400162176,-0.03639314599837824,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,0,2.0,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-2_plus2,2240.0,0.453674,0,2.0,0.06950474098435185,-0.03049525901564816,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,1,2.0,0.0982694912149786,-0.0017305087850214007,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,1,2.0,0.06777303924855789,-0.032226960751442116,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,2,2.0,0.09699722055194629,-0.003002779448053716,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,2,2.0,0.06650076858552557,-0.03349923141447443,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,3,2.0,0.09371857618395221,-0.006281423816047793,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,3,2.0,0.0632221242175315,-0.03677787578246851,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,4,2.0,0.091620243788436,-0.008379756211564005,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,4,2.0,0.061123791822015286,-0.03887620817798472,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,0,2.5,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-2_plus2,2240.0,0.453674,0,2.5,0.06950474098435185,-0.03049525901564816,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,1,2.5,0.09771554093013443,-0.0022844590698655742,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,1,2.5,0.06721908896371372,-0.03278091103628629,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,2,2.5,0.09603628638435949,-0.003963713615640518,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,2,2.5,0.06553983441793877,-0.034460165582061233,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,3,2.5,0.09162904071098979,-0.008370959289010216,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,3,2.5,0.061132588744569075,-0.03886741125543093,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,4,2.5,0.08880840348003319,-0.011191596519966818,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,4,2.5,0.05831195151361247,-0.04168804848638753,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,0,3.0,0.10000119295077256,1.1929507725549904e-06,PASS,
A1,bi,BI-2_plus2,2240.0,0.453674,0,3.0,0.06950474098435185,-0.03049525901564816,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,1,3.0,0.09710009742731104,-0.0028999025726889616,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,1,3.0,0.06660364546089033,-0.03339635453910968,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,2,3.0,0.09496868030803315,-0.005031319691966851,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,2,3.0,0.06447222834161244,-0.035527771658387566,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,3,3.0,0.08926409216806039,-0.010735907831939617,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,3,3.0,0.05876764020163967,-0.04123235979836033,FAIL,0.02348024805919614
A1,uni,BI-2_plus2,2240.0,0.453674,4,3.0,0.0856131557584778,-0.014386844241522201,FAIL,
A1,bi,BI-2_plus2,2240.0,0.453674,4,3.0,0.05511670379205709,-0.044883296207942916,FAIL,0.02348024805919614
