campaign,topology,case,defect_count,bead_height_mm,critical_inlet_mpa
B1,uni,BI-2_plus2,0,0.0,0.453906
B1,bi,BI-2_plus2,0,0.0,0.484375
B1,uni,BI-2_plus2,1,0.0,0.453906
B1,bi,BI-2_plus2,1,0.0,0.484375
B1,uni,BI-2_plus2,2,0.0,0.453906
B1,bi,BI-2_plus2,2,0.0,0.484375
B1,uni,BI-2_plus2,3,0.0,0.453906
B1,bi,BI-2_plus2,3,0.0,0.484375
B1,uni,BI-2_plus2,4,0.0,0.453906
B1,bi,BI-2_plus2,4,0.0,0.484375
B1,uni,BI-2_plus2,0,0.5,0.453906
B1,bi,BI-2_plus2,0,0.5,0.484375
B1,uni,BI-2_plus2,1,0.5,0.454297
B1,bi,BI-2_plus2,1,0.5,0.484766
B1,uni,BI-2_plus2,2,0.5,0.454688
B1,bi,BI-2_plus2,2,0.5,0.485156
B1,uni,BI-2_plus2,3,0.5,0.455078
B1,bi,BI-2_plus2,3,0.5,0.485547
B1,uni,BI-2_plus2,4,0.5,0.455469
B1,bi,BI-2_plus2,4,0.5,0.485938
B1,uni,BI-2_plus2,0,1.0,0.453906
B1,bi,BI-2_plus2,0,1.0,0.484375
B1,uni,BI-2_plus2,1,1.0,0.454688
B1,bi,BI-2_plus2,1,1.0,0.485156
B1,uni,BI-2_plus2,2,1.0,0.455078
B1,bi,BI-2_plus2,2,1.0,0.485547
B1,uni,BI-2_plus2,3,1.0,0.456641
B1,bi,BI-2_plus2,3,1.0,0.487109
B1,uni,BI-2_plus2,4,1.0,0.457422
B1,bi,BI-2_plus2,4,1.0,0.487891
B1,uni,BI-2_plus2,0,1.5,0.453906
B1,bi,BI-2_plus2,0,1.5,0.484375
B1,uni,BI-2_plus2,1,1.5,0.455078
B1,bi,BI-2_plus2,1,1.5,0.485547
B1,uni,BI-2_plus2,2,1.5,0.455859
B1,bi,BI-2_plus2,2,1.5,0.486328
B1,uni,BI-2_plus2,3,1.5,0.458203
B1,bi,BI-2_plus2,3,1.5,0.488672
B1,uni,BI-2_plus2,4,1.5,0.459766
B1,bi,BI-2_plus2,4,1.5,0.490234
B1,uni,BI-2_plus2,0,2.0,0.453906
B1,bi,BI-2_plus2,0,2.0,0.484375
B1,uni,BI-2_plus2,1,2.0,0.455469
B1,bi,BI-2_plus2,1,2.0,0.485938
B1,uni,BI-2_plus2,2,2.0,0.457031
B1,bi,BI-2_plus2,2,2.0,0.4875
B1,uni,BI-2_plus2,3,2.0,0.460156
B1,bi,BI-2_plus2,3,2.0,0.490625
B1,uni,BI-2_plus2,4,2.0,0.462109
B1,bi,BI-2_plus2,4,2.0,0.492578
B1,uni,BI-2_plus2,0,2.5,0.453906
B1,bi,BI-2_plus2,0,2.5,0.484375
B1,uni,BI-2_plus2,1,2.5,0.45625
B1,bi,BI-2_plus2,1,2.5,0.486719
B1,uni,BI-2_plus2,2,2.5,0.457813
B1,bi,BI-2_plus2,2,2.5,0.488281
B1,uni,BI-2_plus2,3,2.5,0.462109
B1,bi,BI-2_plus2,3,2.5,0.492578
B1,uni,BI-2_plus2,4,2.5,0.465234
B1,bi,BI-2_plus2,4,2.5,0.495703
B1,uni,BI-2_plus2,0,3.0,0.453906
B1,bi,BI-2_plus2,0,3.0,0.484375
B1,uni,BI-2_plus2,1,3.0,0.456641
B1,bi,BI-2_plus2,1,3.0,0.487109
B1,uni,BI-2_plus2,2,3.0,0.458984
B1,bi,BI-2_plus2,2,3.0,0.489453
B1,uni,BI-2_plus2,3,3.0,0.464453
B1,bi,BI-2_plus2,3,3.0,0.494922
B1,uni,BI-2_plus2,4,3.0,0.468359
B1,bi,BI-2_plus2,4,3.0,0.498828
