campaign,topology,case,defect_count,bead_height_mm,critical_inlet_mpa
B1,uni,BI-3_defect_one_side,0,0.0,0.453906
B1,bi,BI-3_defect_one_side,0,0.0,0.460938
B1,uni,BI-3_defect_one_side,1,0.0,0.453906
B1,bi,BI-3_defect_one_side,1,0.0,0.460938
B1,uni,BI-3_defect_one_side,2,0.0,0.453906
B1,bi,BI-3_defect_one_side,2,0.0,0.460938
B1,uni,BI-3_defect_one_side,3,0.0,0.453906
B1,bi,BI-3_defect_one_side,3,0.0,0.460938
B1,uni,BI-3_defect_one_side,4,0.0,0.453906
B1,bi,BI-3_defect_one_side,4,0.0,0.460938
B1,uni,BI-3_defect_one_side,0,0.5,0.453906
B1,bi,BI-3_defect_one_side,0,0.5,0.460938
B1,uni,BI-3_defect_one_side,1,0.5,0.454297
B1,bi,BI-3_defect_one_side,1,0.5,0.461328
B1,uni,BI-3_defect_one_side,2,0.5,0.454688
B1,bi,BI-3_defect_one_side,2,0.5,0.461719
B1,uni,BI-3_defect_one_side,3,0.5,0.455078
B1,bi,BI-3_defect_one_side,3,0.5,0.462109
B1,uni,BI-3_defect_one_side,4,0.5,0.455469
B1,bi,BI-3_defect_one_side,4,0.5,0.4625
B1,uni,BI-3_defect_one_side,0,1.0,0.453906
B1,bi,BI-3_defect_one_side,0,1.0,0.460938
B1,uni,BI-3_defect_one_side,1,1.0,0.454688
B1,bi,BI-3_defect_one_side,1,1.0,0.461719
B1,uni,BI-3_defect_one_side,2,1.0,0.455078
B1,bi,BI-3_defect_one_side,2,1.0,0.462109
B1,uni,BI-3_defect_one_side,3,1.0,0.456641
B1,bi,BI-3_defect_one_side,3,1.0,0.463672
B1,uni,BI-3_defect_one_side,4,1.0,0.457422
B1,bi,BI-3_defect_one_side,4,1.0,0.464453
B1,uni,BI-3_defect_one_side,0,1.5,0.453906
B1,bi,BI-3_defect_one_side,0,1.5,0.460938
B1,uni,BI-3_defect_one_side,1,1.5,0.455078
B1,bi,BI-3_defect_one_side,1,1.5,0.462109
B1,uni,BI-3_defect_one_side,2,1.5,0.455859
B1,bi,BI-3_defect_one_side,2,1.5,0.462891
B1,uni,BI-3_defect_one_side,3,1.5,0.458203
B1,bi,BI-3_defect_one_side,3,1.5,0.465234
B1,uni,BI-3_defect_one_side,4,1.5,0.459766
B1,bi,BI-3_defect_one_side,4,1.5,0.466797
B1,uni,BI-3_defect_one_side,0,2.0,0.453906
B1,bi,BI-3_defect_one_side,0,2.0,0.460938
B1,uni,BI-3_defect_one_side,1,2.0,0.455469
B1,bi,BI-3_defect_one_side,1,2.0,0.4625
B1,uni,BI-3_defect_one_side,2,2.0,0.457031
B1,bi,BI-3_defect_one_side,2,2.0,0.464063
B1,uni,BI-3_defect_one_side,3,2.0,0.460156
B1,bi,BI-3_defect_one_side,3,2.0,0.467187
B1,uni,BI-3_defect_one_side,4,2.0,0.462109
B1,bi,BI-3_defect_one_side,4,2.0,0.469141
B1,uni,BI-3_defect_one_side,0,2.5,0.453906
B1,bi,BI-3_defect_one_side,0,2.5,0.460938
B1,uni,BI-3_defect_one_side,1,2.5,0.45625
B1,bi,BI-3_defect_one_side,1,2.5,0.463281
B1,uni,BI-3_defect_one_side,2,2.5,0.457813
B1,bi,BI-3_defect_one_side,2,2.5,0.464844
B1,uni,BI-3_defect_one_side,3,2.5,0.462109
B1,bi,BI-3_defect_one_side,3,2.5,0.469141
B1,uni,BI-3_defect_one_side,4,2.5,0.465234
B1,bi,BI-3_defect_one_side,4,2.5,0.472266
B1,uni,BI-3_defect_one_side,0,3.0,0.453906
B1,bi,BI-3_defect_one_side,0,3.0,0.460938
B1,uni,BI-3_defect_one_side,1,3.0,0.456641
B1,bi,BI-3_defect_one_side,1,3.0,0.463672
B1,uni,BI-3_defect_one_side,2,3.0,0.458984
B1,bi,BI-3_defect_one_side,2,3.0,0.466016
B1,uni,BI-3_defect_one_side,3,3.0,0.464453
B1,bi,BI-3_defect_one_side,3,3.0,0.471484
B1,uni,BI-3_defect_one_side,4,3.0,0.468359
B1,bi,BI-3_defect_one_side,4,3.0,0.475391
