campaign,topology,case,defect_count,bead_height_mm,critical_inlet_mpa
B1,uni,BI-0_symmetric,0,0.0,0.529687
B1,bi,BI-0_symmetric,0,0.0,0.539063
B1,uni,BI-0_symmetric,1,0.0,0.529687
B1,bi,BI-0_symmetric,1,0.0,0.539063
B1,uni,BI-0_symmetric,2,0.0,0.529687
B1,bi,BI-0_symmetric,2,0.0,0.539063
B1,uni,BI-0_symmetric,3,0.0,0.529687
B1,bi,BI-0_symmetric,3,0.0,0.539063
B1,uni,BI-0_symmetric,4,0.0,0.529687
B1,bi,BI-0_symmetric,4,0.0,0.539063
B1,uni,BI-0_symmetric,0,0.5,0.529687
B1,bi,BI-0_symmetric,0,0.5,0.539063
B1,uni,BI-0_symmetric,1,0.5,0.530078
B1,bi,BI-0_symmetric,1,0.5,0.539453
B1,uni,BI-0_symmetric,2,0.5,0.530469
B1,bi,BI-0_symmetric,2,0.5,0.539844
B1,uni,BI-0_symmetric,3,0.5,0.530859
B1,bi,BI-0_symmetric,3,0.5,0.539844
B1,uni,BI-0_symmetric,4,0.5,0.53125
B1,bi,BI-0_symmetric,4,0.5,0.540625
B1,uni,BI-0_symmetric,0,1.0,0.529687
B1,bi,BI-0_symmetric,0,1.0,0.539063
B1,uni,BI-0_symmetric,1,1.0,0.530469
B1,bi,BI-0_symmetric,1,1.0,0.539844
B1,uni,BI-0_symmetric,2,1.0,0.53125
B1,bi,BI-0_symmetric,2,1.0,0.540625
B1,uni,BI-0_symmetric,3,1.0,0.532031
B1,bi,BI-0_symmetric,3,1.0,0.541406
B1,uni,BI-0_symmetric,4,1.0,0.533203
B1,bi,BI-0_symmetric,4,1.0,0.542578
B1,uni,BI-0_symmetric,0,1.5,0.529687
B1,bi,BI-0_symmetric,0,1.5,0.539063
B1,uni,BI-0_symmetric,1,1.5,0.53125
B1,bi,BI-0_symmetric,1,1.5,0.540625
B1,uni,BI-0_symmetric,2,1.5,0.532422
B1,bi,BI-0_symmetric,2,1.5,0.541797
B1,uni,BI-0_symmetric,3,1.5,0.533203
B1,bi,BI-0_symmetric,3,1.5,0.542578
B1,uni,BI-0_symmetric,4,1.5,0.535547
B1,bi,BI-0_symmetric,4,1.5,0.544922
B1,uni,BI-0_symmetric,0,2.0,0.529687
B1,bi,BI-0_symmetric,0,2.0,0.539063
B1,uni,BI-0_symmetric,1,2.0,0.531641
B1,bi,BI-0_symmetric,1,2.0,0.541016
B1,uni,BI-0_symmetric,2,2.0,0.533594
B1,bi,BI-0_symmetric,2,2.0,0.542969
B1,uni,BI-0_symmetric,3,2.0,0.534766
B1,bi,BI-0_symmetric,3,2.0,0.544141
B1,uni,BI-0_symmetric,4,2.0,0.538281
B1,bi,BI-0_symmetric,4,2.0,0.547266
B1,uni,BI-0_symmetric,0,2.5,0.529687
B1,bi,BI-0_symmetric,0,2.5,0.539063
B1,uni,BI-0_symmetric,1,2.5,0.532422
B1,bi,BI-0_symmetric,1,2.5,0.541797
B1,uni,BI-0_symmetric,2,2.5,0.534766
B1,bi,BI-0_symmetric,2,2.5,0.544141
B1,uni,BI-0_symmetric,3,2.5,0.536328
B1,bi,BI-0_symmetric,3,2.5,0.545703
B1,uni,BI-0_symmetric,4,2.5,0.541016
B1,bi,BI-0_symmetric,4,2.5,0.550391
B1,uni,BI-0_symmetric,0,3.0,0.529687
B1,bi,BI-0_symmetric,0,3.0,0.539063
B1,uni,BI-0_symmetric,1,3.0,0.533203
B1,bi,BI-0_symmetric,1,3.0,0.542578
B1,uni,BI-0_symmetric,2,3.0,0.536328
B1,bi,BI-0_symmetric,2,3.0,0.545703
B1,uni,BI-0_symmetric,3,3.0,0.538281
B1,bi,BI-0_symmetric,3,3.0,0.547656
B1,uni,BI-0_symmetric,4,3.0,0.544141
B1,bi,BI-0_symmetric,4,3.0,0.553516
