campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pass_fail,K_ELBOW,K3_bi,K_TEE
C2,uni,2240.0,0.448,0,0.0,0.09432719295077255,FAIL,0.53,1.0,1.2
C2,uni,2240.0,0.45,0,0.0,0.09632719295077255,FAIL,0.53,1.0,1.2
C2,uni,2240.0,0.452,0,0.0,0.09832719295077255,FAIL,0.53,1.0,1.2
C2,uni,2240.0,0.454,0,0.0,0.10032719295077255,PASS,0.53,1.0,1.2
C2,uni,2240.0,0.456,0,0.0,0.10232719295077256,PASS,0.53,1.0,1.2
C2,uni,2240.0,0.458,0,0.0,0.10432719295077256,PASS,0.53,1.0,1.2
C2,uni,2240.0,0.46,0,0.0,0.10632719295077256,PASS,0.53,1.0,1.2
C2,uni,2240.0,0.462,0,0.0,0.10832719295077256,PASS,0.53,1.0,1.2
C2,uni,2240.0,0.464,0,0.0,0.11032719295077256,PASS,0.53,1.0,1.2
C2,uni,2240.0,0.466,0,0.0,0.11232719295077255,PASS,0.53,1.0,1.2
C2,uni,2240.0,0.468,0,0.0,0.11432719295077255,PASS,0.53,1.0,1.2
C2,uni,2240.0,0.47,0,0.0,0.1163271929507725,PASS,0.53,1.0,1.2
C2,uni,2240.0,0.472,0,0.0,0.1183271929507725,PASS,0.53,1.0,1.2
C2,uni,2240.0,0.474,0,0.0,0.1203271929507725,PASS,0.53,1.0,1.2
C2,bi,2240.0,0.448,0,0.0,0.08302040871080216,FAIL,0.53,1.0,1.2
C2,bi,2240.0,0.45,0,0.0,0.08502040871080216,FAIL,0.53,1.0,1.2
C2,bi,2240.0,0.452,0,0.0,0.08702040871080216,FAIL,0.53,1.0,1.2
C2,bi,2240.0,0.454,0,0.0,0.08902040871080216,FAIL,0.53,1.0,1.2
C2,bi,2240.0,0.456,0,0.0,0.09102040871080216,FAIL,0.53,1.0,1.2
C2,bi,2240.0,0.458,0,0.0,0.09302040871080217,FAIL,0.53,1.0,1.2
C2,bi,2240.0,0.46,0,0.0,0.09502040871080217,FAIL,0.53,1.0,1.2
C2,bi,2240.0,0.462,0,0.0,0.09702040871080217,FAIL,0.53,1.0,1.2
C2,bi,2240.0,0.464,0,0.0,0.09902040871080217,FAIL,0.53,1.0,1.2
C2,bi,2240.0,0.466,0,0.0,0.10102040871080217,PASS,0.53,1.0,1.2
C2,bi,2240.0,0.468,0,0.0,0.10302040871080217,PASS,0.53,1.0,1.2
C2,bi,2240.0,0.47,0,0.0,0.10502040871080212,PASS,0.53,1.0,1.2
C2,bi,2240.0,0.472,0,0.0,0.10702040871080212,PASS,0.53,1.0,1.2
C2,bi,2240.0,0.474,0,0.0,0.10902040871080212,PASS,0.53,1.0,1.2
