campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pass_fail,K_ELBOW,K3_bi,K_TEE
C2,uni,2240.0,0.448,0,0.0,0.09469245670517143,FAIL,0.45,1.0,1.2
C2,uni,2240.0,0.45,0,0.0,0.09669245670517143,FAIL,0.45,1.0,1.2
C2,uni,2240.0,0.452,0,0.0,0.09869245670517143,FAIL,0.45,1.0,1.2
C2,uni,2240.0,0.454,0,0.0,0.10069245670517143,PASS,0.45,1.0,1.2
C2,uni,2240.0,0.456,0,0.0,0.10269245670517144,PASS,0.45,1.0,1.2
C2,uni,2240.0,0.458,0,0.0,0.10469245670517144,PASS,0.45,1.0,1.2
C2,uni,2240.0,0.46,0,0.0,0.10669245670517144,PASS,0.45,1.0,1.2
C2,uni,2240.0,0.462,0,0.0,0.10869245670517144,PASS,0.45,1.0,1.2
C2,uni,2240.0,0.464,0,0.0,0.11069245670517144,PASS,0.45,1.0,1.2
C2,uni,2240.0,0.466,0,0.0,0.11269245670517143,PASS,0.45,1.0,1.2
C2,uni,2240.0,0.468,0,0.0,0.11469245670517143,PASS,0.45,1.0,1.2
C2,uni,2240.0,0.47,0,0.0,0.11669245670517138,PASS,0.45,1.0,1.2
C2,uni,2240.0,0.472,0,0.0,0.11869245670517138,PASS,0.45,1.0,1.2
C2,uni,2240.0,0.474,0,0.0,0.12069245670517138,PASS,0.45,1.0,1.2
C2,bi,2240.0,0.448,0,0.0,0.08302040871080216,FAIL,0.45,1.0,1.2
C2,bi,2240.0,0.45,0,0.0,0.08502040871080216,FAIL,0.45,1.0,1.2
C2,bi,2240.0,0.452,0,0.0,0.08702040871080216,FAIL,0.45,1.0,1.2
C2,bi,2240.0,0.454,0,0.0,0.08902040871080216,FAIL,0.45,1.0,1.2
C2,bi,2240.0,0.456,0,0.0,0.09102040871080216,FAIL,0.45,1.0,1.2
C2,bi,2240.0,0.458,0,0.0,0.09302040871080217,FAIL,0.45,1.0,1.2
C2,bi,2240.0,0.46,0,0.0,0.09502040871080217,FAIL,0.45,1.0,1.2
C2,bi,2240.0,0.462,0,0.0,0.09702040871080217,FAIL,0.45,1.0,1.2
C2,bi,2240.0,0.464,0,0.0,0.09902040871080217,FAIL,0.45,1.0,1.2
C2,bi,2240.0,0.466,0,0.0,0.10102040871080217,PASS,0.45,1.0,1.2
C2,bi,2240.0,0.468,0,0.0,0.10302040871080217,PASS,0.45,1.0,1.2
C2,bi,2240.0,0.47,0,0.0,0.10502040871080212,PASS,0.45,1.0,1.2
C2,bi,2240.0,0.472,0,0.0,0.10702040871080212,PASS,0.45,1.0,1.2
C2,bi,2240.0,0.474,0,0.0,0.10902040871080212,PASS,0.45,1.0,1.2
