campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa,K_ELBOW,K3_bi,K_TEE
B1,uni,2240.0,0,0.0,0.453516,0.45,1.0,0.9
B1,uni,2240.0,1,0.0,0.453516,0.45,1.0,0.9
B1,uni,2240.0,2,0.0,0.453516,0.45,1.0,0.9
B1,uni,2240.0,3,0.0,0.453516,0.45,1.0,0.9
B1,uni,2240.0,4,0.0,0.453516,0.45,1.0,0.9
B1,uni,2240.0,0,0.5,0.453516,0.45,1.0,0.9
B1,uni,2240.0,1,0.5,0.453906,0.45,1.0,0.9
B1,uni,2240.0,2,0.5,0.454297,0.45,1.0,0.9
B1,uni,2240.0,3,0.5,0.454688,0.45,1.0,0.9
B1,uni,2240.0,4,0.5,0.455078,0.45,1.0,0.9
B1,uni,2240.0,0,1.0,0.453516,0.45,1.0,0.9
B1,uni,2240.0,1,1.0,0.454297,0.45,1.0,0.9
B1,uni,2240.0,2,1.0,0.454688,0.45,1.0,0.9
B1,uni,2240.0,3,1.0,0.45625,0.45,1.0,0.9
B1,uni,2240.0,4,1.0,0.457031,0.45,1.0,0.9
B1,uni,2240.0,0,1.5,0.453516,0.45,1.0,0.9
B1,uni,2240.0,1,1.5,0.454688,0.45,1.0,0.9
B1,uni,2240.0,2,1.5,0.455469,0.45,1.0,0.9
B1,uni,2240.0,3,1.5,0.457813,0.45,1.0,0.9
B1,uni,2240.0,4,1.5,0.459375,0.45,1.0,0.9
B1,uni,2240.0,0,2.0,0.453516,0.45,1.0,0.9
B1,uni,2240.0,1,2.0,0.455078,0.45,1.0,0.9
B1,uni,2240.0,2,2.0,0.456641,0.45,1.0,0.9
B1,uni,2240.0,3,2.0,0.459766,0.45,1.0,0.9
B1,uni,2240.0,4,2.0,0.461719,0.45,1.0,0.9
B1,uni,2240.0,0,2.5,0.453516,0.45,1.0,0.9
B1,uni,2240.0,1,2.5,0.455859,0.45,1.0,0.9
B1,uni,2240.0,2,2.5,0.457422,0.45,1.0,0.9
B1,uni,2240.0,3,2.5,0.461719,0.45,1.0,0.9
B1,uni,2240.0,4,2.5,0.464844,0.45,1.0,0.9
B1,uni,2240.0,0,3.0,0.453516,0.45,1.0,0.9
B1,uni,2240.0,1,3.0,0.45625,0.45,1.0,0.9
B1,uni,2240.0,2,3.0,0.458594,0.45,1.0,0.9
B1,uni,2240.0,3,3.0,0.464063,0.45,1.0,0.9
B1,uni,2240.0,4,3.0,0.467969,0.45,1.0,0.9
B1,bi,2240.0,0,0.0,0.455859,0.45,1.0,0.9
B1,bi,2240.0,1,0.0,0.455859,0.45,1.0,0.9
B1,bi,2240.0,2,0.0,0.455859,0.45,1.0,0.9
B1,bi,2240.0,3,0.0,0.455859,0.45,1.0,0.9
B1,bi,2240.0,4,0.0,0.455859,0.45,1.0,0.9
B1,bi,2240.0,0,0.5,0.455859,0.45,1.0,0.9
B1,bi,2240.0,1,0.5,0.45625,0.45,1.0,0.9
B1,bi,2240.0,2,0.5,0.456641,0.45,1.0,0.9
B1,bi,2240.0,3,0.5,0.457422,0.45,1.0,0.9
B1,bi,2240.0,4,0.5,0.457813,0.45,1.0,0.9
B1,bi,2240.0,0,1.0,0.455859,0.45,1.0,0.9
B1,bi,2240.0,1,1.0,0.456641,0.45,1.0,0.9
B1,bi,2240.0,2,1.0,0.457422,0.45,1.0,0.9
B1,bi,2240.0,3,1.0,0.458594,0.45,1.0,0.9
B1,bi,2240.0,4,1.0,0.459766,0.45,1.0,0.9
B1,bi,2240.0,0,1.5,0.455859,0.45,1.0,0.9
B1,bi,2240.0,1,1.5,0.457031,0.45,1.0,0.9
B1,bi,2240.0,2,1.5,0.458203,0.45,1.0,0.9
B1,bi,2240.0,3,1.5,0.460547,0.45,1.0,0.9
B1,bi,2240.0,4,1.5,0.461719,0.45,1.0,0.9
B1,bi,2240.0,0,2.0,0.455859,0.45,1.0,0.9
B1,bi,2240.0,1,2.0,0.457813,0.45,1.0,0.9
B1,bi,2240.0,2,2.0,0.458984,0.45,1.0,0.9
B1,bi,2240.0,3,2.0,0.462109,0.45,1.0,0.9
B1,bi,2240.0,4,2.0,0.464453,0.45,1.0,0.9
B1,bi,2240.0,0,2.5,0.455859,0.45,1.0,0.9
B1,bi,2240.0,1,2.5,0.458203,0.45,1.0,0.9
B1,bi,2240.0,2,2.5,0.459766,0.45,1.0,0.9
B1,bi,2240.0,3,2.5,0.464453,0.45,1.0,0.9
B1,bi,2240.0,4,2.5,0.467187,0.45,1.0,0.9
B1,bi,2240.0,0,3.0,0.455859,0.45,1.0,0.9
B1,bi,2240.0,1,3.0,0.458984,0.45,1.0,0.9
B1,bi,2240.0,2,3.0,0.460938,0.45,1.0,0.9
B1,bi,2240.0,3,3.0,0.466797,0.45,1.0,0.9
B1,bi,2240.0,4,3.0,0.470313,0.45,1.0,0.9
