campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pass_fail,K_ELBOW,K3_bi,K_TEE
C2,uni,2560.0,0.524,0,0.0,0.09422754550784032,FAIL,0.6,1.0,1.06
C2,uni,2560.0,0.526,0,0.0,0.09622754550784032,FAIL,0.6,1.0,1.06
C2,uni,2560.0,0.528,0,0.0,0.09822754550784032,FAIL,0.6,1.0,1.06
C2,uni,2560.0,0.53,0,0.0,0.10022754550784033,PASS,0.6,1.0,1.06
C2,uni,2560.0,0.532,0,0.0,0.10222754550784033,PASS,0.6,1.0,1.06
C2,uni,2560.0,0.534,0,0.0,0.10422754550784033,PASS,0.6,1.0,1.06
C2,uni,2560.0,0.536,0,0.0,0.10622754550784033,PASS,0.6,1.0,1.06
C2,uni,2560.0,0.538,0,0.0,0.10822754550784033,PASS,0.6,1.0,1.06
C2,uni,2560.0,0.54,0,0.0,0.11022754550784034,PASS,0.6,1.0,1.06
C2,uni,2560.0,0.542,0,0.0,0.11222754550784032,PASS,0.6,1.0,1.06
C2,uni,2560.0,0.544,0,0.0,0.11422754550784033,PASS,0.6,1.0,1.06
C2,uni,2560.0,0.546,0,0.0,0.11622754550784033,PASS,0.6,1.0,1.06
C2,uni,2560.0,0.548,0,0.0,0.11822754550784033,PASS,0.6,1.0,1.06
C2,uni,2560.0,0.55,0,0.0,0.12022754550784033,PASS,0.6,1.0,1.06
C2,bi,2560.0,0.524,0,0.0,0.08531048276611555,FAIL,0.6,1.0,1.06
C2,bi,2560.0,0.526,0,0.0,0.08731048276611555,FAIL,0.6,1.0,1.06
C2,bi,2560.0,0.528,0,0.0,0.08931048276611556,FAIL,0.6,1.0,1.06
C2,bi,2560.0,0.53,0,0.0,0.09131048276611556,FAIL,0.6,1.0,1.06
C2,bi,2560.0,0.532,0,0.0,0.09331048276611556,FAIL,0.6,1.0,1.06
C2,bi,2560.0,0.534,0,0.0,0.09531048276611556,FAIL,0.6,1.0,1.06
C2,bi,2560.0,0.536,0,0.0,0.09731048276611556,FAIL,0.6,1.0,1.06
C2,bi,2560.0,0.538,0,0.0,0.09931048276611557,FAIL,0.6,1.0,1.06
C2,bi,2560.0,0.54,0,0.0,0.10131048276611557,PASS,0.6,1.0,1.06
C2,bi,2560.0,0.542,0,0.0,0.10331048276611557,PASS,0.6,1.0,1.06
C2,bi,2560.0,0.544,0,0.0,0.10531048276611557,PASS,0.6,1.0,1.06
C2,bi,2560.0,0.546,0,0.0,0.10731048276611557,PASS,0.6,1.0,1.06
C2,bi,2560.0,0.548,0,0.0,0.10931048276611557,PASS,0.6,1.0,1.06
C2,bi,2560.0,0.55,0,0.0,0.11131048276611556,PASS,0.6,1.0,1.06
