campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa,K_ELBOW,K3_bi,K_TEE
B1,uni,2560.0,0,0.0,0.529687,0.53,1.0,1.2
B1,uni,2560.0,1,0.0,0.529687,0.53,1.0,1.2
B1,uni,2560.0,2,0.0,0.529687,0.53,1.0,1.2
B1,uni,2560.0,3,0.0,0.529687,0.53,1.0,1.2
B1,uni,2560.0,4,0.0,0.529687,0.53,1.0,1.2
B1,uni,2560.0,0,0.5,0.529687,0.53,1.0,1.2
B1,uni,2560.0,1,0.5,0.530078,0.53,1.0,1.2
B1,uni,2560.0,2,0.5,0.530469,0.53,1.0,1.2
B1,uni,2560.0,3,0.5,0.530859,0.53,1.0,1.2
B1,uni,2560.0,4,0.5,0.53125,0.53,1.0,1.2
B1,uni,2560.0,0,1.0,0.529687,0.53,1.0,1.2
B1,uni,2560.0,1,1.0,0.530469,0.53,1.0,1.2
B1,uni,2560.0,2,1.0,0.53125,0.53,1.0,1.2
B1,uni,2560.0,3,1.0,0.532031,0.53,1.0,1.2
B1,uni,2560.0,4,1.0,0.533203,0.53,1.0,1.2
B1,uni,2560.0,0,1.5,0.529687,0.53,1.0,1.2
B1,uni,2560.0,1,1.5,0.53125,0.53,1.0,1.2
B1,uni,2560.0,2,1.5,0.532422,0.53,1.0,1.2
B1,uni,2560.0,3,1.5,0.533203,0.53,1.0,1.2
B1,uni,2560.0,4,1.5,0.535547,0.53,1.0,1.2
B1,uni,2560.0,0,2.0,0.529687,0.53,1.0,1.2
B1,uni,2560.0,1,2.0,0.531641,0.53,1.0,1.2
B1,uni,2560.0,2,2.0,0.533594,0.53,1.0,1.2
B1,uni,2560.0,3,2.0,0.534766,0.53,1.0,1.2
B1,uni,2560.0,4,2.0,0.538281,0.53,1.0,1.2
B1,uni,2560.0,0,2.5,0.529687,0.53,1.0,1.2
B1,uni,2560.0,1,2.5,0.532422,0.53,1.0,1.2
B1,uni,2560.0,2,2.5,0.534766,0.53,1.0,1.2
B1,uni,2560.0,3,2.5,0.536328,0.53,1.0,1.2
B1,uni,2560.0,4,2.5,0.541016,0.53,1.0,1.2
B1,uni,2560.0,0,3.0,0.529687,0.53,1.0,1.2
B1,uni,2560.0,1,3.0,0.533203,0.53,1.0,1.2
B1,uni,2560.0,2,3.0,0.536328,0.53,1.0,1.2
B1,uni,2560.0,3,3.0,0.538281,0.53,1.0,1.2
B1,uni,2560.0,4,3.0,0.544141,0.53,1.0,1.2
B1,bi,2560.0,0,0.0,0.544531,0.53,1.0,1.2
B1,bi,2560.0,1,0.0,0.544531,0.53,1.0,1.2
B1,bi,2560.0,2,0.0,0.544531,0.53,1.0,1.2
B1,bi,2560.0,3,0.0,0.544531,0.53,1.0,1.2
B1,bi,2560.0,4,0.0,0.544531,0.53,1.0,1.2
B1,bi,2560.0,0,0.5,0.544531,0.53,1.0,1.2
B1,bi,2560.0,1,0.5,0.544922,0.53,1.0,1.2
B1,bi,2560.0,2,0.5,0.545313,0.53,1.0,1.2
B1,bi,2560.0,3,0.5,0.545703,0.53,1.0,1.2
B1,bi,2560.0,4,0.5,0.546094,0.53,1.0,1.2
B1,bi,2560.0,0,1.0,0.544531,0.53,1.0,1.2
B1,bi,2560.0,1,1.0,0.545703,0.53,1.0,1.2
B1,bi,2560.0,2,1.0,0.546094,0.53,1.0,1.2
B1,bi,2560.0,3,1.0,0.546875,0.53,1.0,1.2
B1,bi,2560.0,4,1.0,0.548438,0.53,1.0,1.2
B1,bi,2560.0,0,1.5,0.544531,0.53,1.0,1.2
B1,bi,2560.0,1,1.5,0.546094,0.53,1.0,1.2
B1,bi,2560.0,2,1.5,0.547266,0.53,1.0,1.2
B1,bi,2560.0,3,1.5,0.548047,0.53,1.0,1.2
B1,bi,2560.0,4,1.5,0.550391,0.53,1.0,1.2
B1,bi,2560.0,0,2.0,0.544531,0.53,1.0,1.2
B1,bi,2560.0,1,2.0,0.546875,0.53,1.0,1.2
B1,bi,2560.0,2,2.0,0.548438,0.53,1.0,1.2
B1,bi,2560.0,3,2.0,0.549609,0.53,1.0,1.2
B1,bi,2560.0,4,2.0,0.553125,0.53,1.0,1.2
B1,bi,2560.0,0,2.5,0.544531,0.53,1.0,1.2
B1,bi,2560.0,1,2.5,0.547656,0.53,1.0,1.2
B1,bi,2560.0,2,2.5,0.549609,0.53,1.0,1.2
B1,bi,2560.0,3,2.5,0.551563,0.53,1.0,1.2
B1,bi,2560.0,4,2.5,0.555859,0.53,1.0,1.2
B1,bi,2560.0,0,3.0,0.544531,0.53,1.0,1.2
B1,bi,2560.0,1,3.0,0.548438,0.53,1.0,1.2
B1,bi,2560.0,2,3.0,0.551172,0.53,1.0,1.2
B1,bi,2560.0,3,3.0,0.553125,0.53,1.0,1.2
B1,bi,2560.0,4,3.0,0.558984,0.53,1.0,1.2
