campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pass_fail,K_ELBOW,K3_bi,K_TEE
C2,uni,2560.0,0.526,0,0.0,0.09533302202767971,FAIL,0.75,1.0,1.2
C2,uni,2560.0,0.528,0,0.0,0.09733302202767971,FAIL,0.75,1.0,1.2
C2,uni,2560.0,0.53,0,0.0,0.09933302202767971,FAIL,0.75,1.0,1.2
C2,uni,2560.0,0.532,0,0.0,0.10133302202767971,PASS,0.75,1.0,1.2
C2,uni,2560.0,0.534,0,0.0,0.10333302202767972,PASS,0.75,1.0,1.2
C2,uni,2560.0,0.536,0,0.0,0.10533302202767972,PASS,0.75,1.0,1.2
C2,uni,2560.0,0.538,0,0.0,0.10733302202767972,PASS,0.75,1.0,1.2
C2,uni,2560.0,0.54,0,0.0,0.10933302202767972,PASS,0.75,1.0,1.2
C2,uni,2560.0,0.542,0,0.0,0.11133302202767971,PASS,0.75,1.0,1.2
C2,uni,2560.0,0.544,0,0.0,0.11333302202767971,PASS,0.75,1.0,1.2
C2,uni,2560.0,0.546,0,0.0,0.11533302202767971,PASS,0.75,1.0,1.2
C2,uni,2560.0,0.548,0,0.0,0.11733302202767971,PASS,0.75,1.0,1.2
C2,uni,2560.0,0.55,0,0.0,0.11933302202767972,PASS,0.75,1.0,1.2
C2,uni,2560.0,0.552,0,0.0,0.12133302202767972,PASS,0.75,1.0,1.2
C2,bi,2560.0,0.526,0,0.0,0.08170645947436586,FAIL,0.75,1.0,1.2
C2,bi,2560.0,0.528,0,0.0,0.08370645947436586,FAIL,0.75,1.0,1.2
C2,bi,2560.0,0.53,0,0.0,0.08570645947436586,FAIL,0.75,1.0,1.2
C2,bi,2560.0,0.532,0,0.0,0.08770645947436587,FAIL,0.75,1.0,1.2
C2,bi,2560.0,0.534,0,0.0,0.08970645947436587,FAIL,0.75,1.0,1.2
C2,bi,2560.0,0.536,0,0.0,0.09170645947436587,FAIL,0.75,1.0,1.2
C2,bi,2560.0,0.538,0,0.0,0.09370645947436587,FAIL,0.75,1.0,1.2
C2,bi,2560.0,0.54,0,0.0,0.09570645947436587,FAIL,0.75,1.0,1.2
C2,bi,2560.0,0.542,0,0.0,0.09770645947436588,FAIL,0.75,1.0,1.2
C2,bi,2560.0,0.544,0,0.0,0.09970645947436588,FAIL,0.75,1.0,1.2
C2,bi,2560.0,0.546,0,0.0,0.10170645947436588,PASS,0.75,1.0,1.2
C2,bi,2560.0,0.548,0,0.0,0.10370645947436588,PASS,0.75,1.0,1.2
C2,bi,2560.0,0.55,0,0.0,0.10570645947436588,PASS,0.75,1.0,1.2
C2,bi,2560.0,0.552,0,0.0,0.10770645947436588,PASS,0.75,1.0,1.2
