campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa,K_ELBOW,K3_bi,K_TEE
B1,uni,2560.0,0,0.0,0.528906,0.45,1.0,1.2
B1,uni,2560.0,1,0.0,0.528906,0.45,1.0,1.2
B1,uni,2560.0,2,0.0,0.528906,0.45,1.0,1.2
B1,uni,2560.0,3,0.0,0.528906,0.45,1.0,1.2
B1,uni,2560.0,4,0.0,0.528906,0.45,1.0,1.2
B1,uni,2560.0,0,0.5,0.528906,0.45,1.0,1.2
B1,uni,2560.0,1,0.5,0.529687,0.45,1.0,1.2
B1,uni,2560.0,2,0.5,0.530078,0.45,1.0,1.2
B1,uni,2560.0,3,0.5,0.530078,0.45,1.0,1.2
B1,uni,2560.0,4,0.5,0.530859,0.45,1.0,1.2
B1,uni,2560.0,0,1.0,0.528906,0.45,1.0,1.2
B1,uni,2560.0,1,1.0,0.530078,0.45,1.0,1.2
B1,uni,2560.0,2,1.0,0.530859,0.45,1.0,1.2
B1,uni,2560.0,3,1.0,0.531641,0.45,1.0,1.2
B1,uni,2560.0,4,1.0,0.532813,0.45,1.0,1.2
B1,uni,2560.0,0,1.5,0.528906,0.45,1.0,1.2
B1,uni,2560.0,1,1.5,0.530859,0.45,1.0,1.2
B1,uni,2560.0,2,1.5,0.532031,0.45,1.0,1.2
B1,uni,2560.0,3,1.5,0.532813,0.45,1.0,1.2
B1,uni,2560.0,4,1.5,0.535156,0.45,1.0,1.2
B1,uni,2560.0,0,2.0,0.528906,0.45,1.0,1.2
B1,uni,2560.0,1,2.0,0.53125,0.45,1.0,1.2
B1,uni,2560.0,2,2.0,0.533203,0.45,1.0,1.2
B1,uni,2560.0,3,2.0,0.534375,0.45,1.0,1.2
B1,uni,2560.0,4,2.0,0.5375,0.45,1.0,1.2
B1,uni,2560.0,0,2.5,0.528906,0.45,1.0,1.2
B1,uni,2560.0,1,2.5,0.532031,0.45,1.0,1.2
B1,uni,2560.0,2,2.5,0.534375,0.45,1.0,1.2
B1,uni,2560.0,3,2.5,0.535938,0.45,1.0,1.2
B1,uni,2560.0,4,2.5,0.540625,0.45,1.0,1.2
B1,uni,2560.0,0,3.0,0.528906,0.45,1.0,1.2
B1,uni,2560.0,1,3.0,0.532813,0.45,1.0,1.2
B1,uni,2560.0,2,3.0,0.535938,0.45,1.0,1.2
B1,uni,2560.0,3,3.0,0.537891,0.45,1.0,1.2
B1,uni,2560.0,4,3.0,0.54375,0.45,1.0,1.2
B1,bi,2560.0,0,0.0,0.544531,0.45,1.0,1.2
B1,bi,2560.0,1,0.0,0.544531,0.45,1.0,1.2
B1,bi,2560.0,2,0.0,0.544531,0.45,1.0,1.2
B1,bi,2560.0,3,0.0,0.544531,0.45,1.0,1.2
B1,bi,2560.0,4,0.0,0.544531,0.45,1.0,1.2
B1,bi,2560.0,0,0.5,0.544531,0.45,1.0,1.2
B1,bi,2560.0,1,0.5,0.544922,0.45,1.0,1.2
B1,bi,2560.0,2,0.5,0.545313,0.45,1.0,1.2
B1,bi,2560.0,3,0.5,0.545703,0.45,1.0,1.2
B1,bi,2560.0,4,0.5,0.546094,0.45,1.0,1.2
B1,bi,2560.0,0,1.0,0.544531,0.45,1.0,1.2
B1,bi,2560.0,1,1.0,0.545703,0.45,1.0,1.2
B1,bi,2560.0,2,1.0,0.546094,0.45,1.0,1.2
B1,bi,2560.0,3,1.0,0.546875,0.45,1.0,1.2
B1,bi,2560.0,4,1.0,0.548438,0.45,1.0,1.2
B1,bi,2560.0,0,1.5,0.544531,0.45,1.0,1.2
B1,bi,2560.0,1,1.5,0.546094,0.45,1.0,1.2
B1,bi,2560.0,2,1.5,0.547266,0.45,1.0,1.2
B1,bi,2560.0,3,1.5,0.548047,0.45,1.0,1.2
B1,bi,2560.0,4,1.5,0.550391,0.45,1.0,1.2
B1,bi,2560.0,0,2.0,0.544531,0.45,1.0,1.2
B1,bi,2560.0,1,2.0,0.546875,0.45,1.0,1.2
B1,bi,2560.0,2,2.0,0.548438,0.45,1.0,1.2
B1,bi,2560.0,3,2.0,0.549609,0.45,1.0,1.2
B1,bi,2560.0,4,2.0,0.553125,0.45,1.0,1.2
B1,bi,2560.0,0,2.5,0.544531,0.45,1.0,1.2
B1,bi,2560.0,1,2.5,0.547656,0.45,1.0,1.2
B1,bi,2560.0,2,2.5,0.549609,0.45,1.0,1.2
B1,bi,2560.0,3,2.5,0.551563,0.45,1.0,1.2
B1,bi,2560.0,4,2.5,0.555859,0.45,1.0,1.2
B1,bi,2560.0,0,3.0,0.544531,0.45,1.0,1.2
B1,bi,2560.0,1,3.0,0.548438,0.45,1.0,1.2
B1,bi,2560.0,2,3.0,0.551172,0.45,1.0,1.2
B1,bi,2560.0,3,3.0,0.553125,0.45,1.0,1.2
B1,bi,2560.0,4,3.0,0.558984,0.45,1.0,1.2
