campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pass_fail,K_ELBOW,K3_bi,K_TEE
C2,uni,2560.0,0.524,0,0.0,0.09512206898800088,FAIL,0.45,1.0,0.9
C2,uni,2560.0,0.526,0,0.0,0.09712206898800088,FAIL,0.45,1.0,0.9
C2,uni,2560.0,0.528,0,0.0,0.09912206898800088,FAIL,0.45,1.0,0.9
C2,uni,2560.0,0.53,0,0.0,0.10112206898800088,PASS,0.45,1.0,0.9
C2,uni,2560.0,0.532,0,0.0,0.10312206898800089,PASS,0.45,1.0,0.9
C2,uni,2560.0,0.534,0,0.0,0.10512206898800089,PASS,0.45,1.0,0.9
C2,uni,2560.0,0.536,0,0.0,0.10712206898800089,PASS,0.45,1.0,0.9
C2,uni,2560.0,0.538,0,0.0,0.10912206898800089,PASS,0.45,1.0,0.9
C2,uni,2560.0,0.54,0,0.0,0.11112206898800088,PASS,0.45,1.0,0.9
C2,uni,2560.0,0.542,0,0.0,0.11312206898800088,PASS,0.45,1.0,0.9
C2,uni,2560.0,0.544,0,0.0,0.11512206898800088,PASS,0.45,1.0,0.9
C2,uni,2560.0,0.546,0,0.0,0.11712206898800089,PASS,0.45,1.0,0.9
C2,uni,2560.0,0.548,0,0.0,0.11912206898800089,PASS,0.45,1.0,0.9
C2,uni,2560.0,0.55,0,0.0,0.12112206898800089,PASS,0.45,1.0,0.9
C2,bi,2560.0,0.524,0,0.0,0.09171508081382942,FAIL,0.45,1.0,0.9
C2,bi,2560.0,0.526,0,0.0,0.09371508081382943,FAIL,0.45,1.0,0.9
C2,bi,2560.0,0.528,0,0.0,0.09571508081382943,FAIL,0.45,1.0,0.9
C2,bi,2560.0,0.53,0,0.0,0.09771508081382943,FAIL,0.45,1.0,0.9
C2,bi,2560.0,0.532,0,0.0,0.09971508081382943,FAIL,0.45,1.0,0.9
C2,bi,2560.0,0.534,0,0.0,0.10171508081382943,PASS,0.45,1.0,0.9
C2,bi,2560.0,0.536,0,0.0,0.10371508081382944,PASS,0.45,1.0,0.9
C2,bi,2560.0,0.538,0,0.0,0.10571508081382944,PASS,0.45,1.0,0.9
C2,bi,2560.0,0.54,0,0.0,0.10771508081382944,PASS,0.45,1.0,0.9
C2,bi,2560.0,0.542,0,0.0,0.10971508081382944,PASS,0.45,1.0,0.9
C2,bi,2560.0,0.544,0,0.0,0.11171508081382943,PASS,0.45,1.0,0.9
C2,bi,2560.0,0.546,0,0.0,0.11371508081382943,PASS,0.45,1.0,0.9
C2,bi,2560.0,0.548,0,0.0,0.11571508081382943,PASS,0.45,1.0,0.9
C2,bi,2560.0,0.55,0,0.0,0.11771508081382943,PASS,0.45,1.0,0.9
