label,K_ELBOW,K3_bi,K_TEE,P_REF,uni_terminal_dc0_b0,bi_terminal_dc0_b0,A1_gap_mpa,uni_remains_better,uni_crit_dc4_b2,bi_crit_dc4_b2,B1_gap_mpa,bi_needs_more_pressure
7h_2.1m_K_ELBOW_0.45,0.45,1.0,1.06,0.453308,0.1000004567051714,0.092618989043548,0.007381467661623398,True,0.461719,0.469141,0.007421999999999984,True
7h_2.1m_K_ELBOW_0.53,0.53,1.0,1.06,0.453674,0.1000011929507725,0.0929849890435479,0.0070162039072246,True,0.462109,0.469141,0.007031999999999983,True
7h_2.1m_K_ELBOW_0.6,0.6,1.0,1.06,0.453992,0.0999995871656735,0.093302989043548,0.006696598122125502,True,0.4625,0.469141,0.0066409999999999525,True
7h_2.1m_K_ELBOW_0.75,0.75,1.0,1.06,0.454678,0.1000007176261755,0.093988989043548,0.00601172858262751,True,0.463281,0.469141,0.005859999999999976,True
7h_2.1m_K3_bi_0.9,0.53,0.9,1.06,0.453674,0.1000011929507725,0.0934415687365466,0.006559624214225901,True,0.462109,0.46875,0.006641000000000008,True
7h_2.1m_K3_bi_1.0,0.53,1.0,1.06,0.453674,0.1000011929507725,0.0929849890435479,0.0070162039072246,True,0.462109,0.469141,0.007031999999999983,True
7h_2.1m_K3_bi_1.1,0.53,1.1,1.06,0.453674,0.1000011929507725,0.0925284093505493,0.007472783600223201,True,0.462109,0.469531,0.007421999999999984,True
7h_2.1m_K_TEE_0.9,0.53,1.0,0.9,0.453674,0.1000011929507725,0.097888509423829,0.002112683526943507,True,0.462109,0.464453,0.0023440000000000127,True
7h_2.1m_K_TEE_1.06,0.53,1.0,1.06,0.453674,0.1000011929507725,0.0929849890435479,0.0070162039072246,True,0.462109,0.469141,0.007031999999999983,True
7h_2.1m_K_TEE_1.2,0.53,1.0,1.2,0.453674,0.1000011929507725,0.0886944087108021,0.011306784239970405,True,0.462109,0.473437,0.011328000000000005,True
7h_2.1m_elbow_low_tee_low,0.45,1.0,0.9,0.453308,0.1000004567051714,0.0975225094238289,0.002477947281342499,True,0.461719,0.464453,0.002734000000000014,True
7h_2.1m_elbow_low_tee_high,0.45,1.0,1.2,0.453308,0.1000004567051714,0.0883284087108021,0.0116720479943693,True,0.461719,0.473437,0.011718000000000006,True
7h_2.1m_elbow_high_tee_low,0.75,1.0,0.9,0.454678,0.1000007176261755,0.098892509423829,0.0011082082023465,True,0.463281,0.464453,0.0011720000000000064,True
7h_2.1m_elbow_high_tee_high,0.75,1.0,1.2,0.454678,0.1000007176261755,0.0896984087108021,0.010302308915373398,True,0.463281,0.473437,0.010155999999999998,True
