campaign,topology,placement,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
C1_focused,uni,worst,2560.0,0.5254,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09313906388020712,0.0007668943572192549,0.09181504159841965,0.09316507399770574,0.09436587535763434
C1_focused,uni,worst,2560.0,0.5274,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0951390638802071,0.0007668943572192549,0.09381504159841965,0.09516507399770574,0.09636587535763434
C1_focused,uni,worst,2560.0,0.529356,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09709506388020718,0.0007668943572192549,0.09577104159841972,0.09712107399770581,0.09832187535763441
C1_focused,uni,worst,2560.0,0.5314,2,1.5,0.5,1000,0.862,0.8392335563875687,0.8819957690358847,0.09913906388020712,0.0007668943572192549,0.09781504159841965,0.09916507399770574,0.10036587535763435
C1_focused,uni,worst,2560.0,0.5334,2,1.5,0.5,1000,0.079,0.06384696504253543,0.0973752835672054,0.10113906388020712,0.0007668943572192549,0.09981504159841965,0.10116507399770575,0.10236587535763435
C1_focused,uni,worst,2560.0,0.5254,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08986069516133988,0.001241264752473366,0.08778685576864463,0.08988257042583384,0.09182821757147633
C1_focused,uni,worst,2560.0,0.5274,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09186069516133988,0.001241264752473366,0.08978685576864463,0.09188257042583384,0.09382821757147633
C1_focused,uni,worst,2560.0,0.529356,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09381669516133993,0.001241264752473366,0.0917428557686447,0.0938385704258339,0.0957842175714764
C1_focused,uni,worst,2560.0,0.5314,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09586069516133988,0.001241264752473366,0.09378685576864464,0.09588257042583384,0.09782821757147633
C1_focused,uni,worst,2560.0,0.5334,4,1.5,0.5,1000,0.967,0.9540184599711052,0.9764072167492062,0.09786069516133987,0.001241264752473366,0.09578685576864464,0.09788257042583384,0.09982821757147634
C1_focused,uni,worst,2560.0,0.5254,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09069204020333671,0.000944361635339389,0.08905893231205625,0.09072558542018017,0.09219832376846877
C1_focused,uni,worst,2560.0,0.5274,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09269204020333671,0.000944361635339389,0.09105893231205625,0.09272558542018017,0.09419832376846878
C1_focused,uni,worst,2560.0,0.529356,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0946480402033368,0.000944361635339389,0.09301493231205632,0.09468158542018024,0.09615432376846884
