case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,delta_pressure_kpa,pipe_size,ranking
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.0,,,,,0.42144781903084494,,,,,,,3,0,,,,,,,,,0.25480529140603503,50A,3
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.0,,,,,0.4215075390210183,,,,,,,3,1,,,,,,,,,0.1950853012326892,50A,5
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.0,,,,,0.4215592963458351,,,,,,,3,2,,,,,,,,,0.14332797641586348,50A,6
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.0,,,,,0.4213452630514005,,,,,,,3,3,,,,,,,,,0.35736127085045366,40A,1
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.0,,,,,0.42147391310890664,,,,,,,3,4,,,,,,,,,0.22871121334433475,40A,4
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.0,,,,,0.42141762949523454,,,,,,,3,5,,,,,,,,,0.2849948270164382,32A,2
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.0,,,,,0.42117849049998896,,,,,,,3,6,,,,,,,,,0.5241338222620184,25A,0
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.0,,,,,0.4215715908666855,,,,,,,3,7,,,,,,,,,0.13103345556547685,25A,7
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.5,,,,,0.4213003331360754,,,,,,,3,0,,,,,,,,,0.402291186175574,50A,3
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.5,,,,,0.4213946201328353,,,,,,,3,1,,,,,,,,,0.3080041894156782,50A,5
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.5,,,,,0.4214763355300272,,,,,,,3,2,,,,,,,,,0.22628879222374998,50A,6
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.5,,,,,0.4211293445880783,,,,,,,3,3,,,,,,,,,0.5732797341726492,40A,1
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.5,,,,,0.4213357252923805,,,,,,,3,4,,,,,,,,,0.36689902987047107,40A,4
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.5,,,,,0.42123967653490574,,,,,,,3,5,,,,,,,,,0.4629477873452359,32A,2
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.5,,,,,0.4208261658080631,,,,,,,3,6,,,,,,,,,0.8764585141878833,25A,0
S1,tree,80A-65A,4,8,16,1280.0,0.5314,1.5,,,,,0.421483509693704,,,,,,,3,7,,,,,,,,,0.21911462854695696,25A,7
S1,tree,80A-65A,4,8,16,1280.0,0.5314,2.0,,,,,0.4211371706942366,,,,,,,3,0,,,,,,,,,0.5654536280143563,50A,3
S1,tree,80A-65A,4,8,16,1280.0,0.5314,2.0,,,,,0.4212696988883025,,,,,,,3,1,,,,,,,,,0.43292543394846117,50A,5
S1,tree,80A-65A,4,8,16,1280.0,0.5314,2.0,,,,,0.4213845566564929,,,,,,,3,2,,,,,,,,,0.31806766575809275,50A,7
S1,tree,80A-65A,4,8,16,1280.0,0.5314,2.0,,,,,0.4208829632302524,,,,,,,3,3,,,,,,,,,0.819661091998547,40A,1
S1,tree,80A-65A,4,8,16,1280.0,0.5314,2.0,,,,,0.4211780412233719,,,,,,,3,4,,,,,,,,,0.5245830988790945,40A,4
S1,tree,80A-65A,4,8,16,1280.0,0.5314,2.0,,,,,0.42103165056950925,,,,,,,3,5,,,,,,,,,0.6709737527417214,32A,2
S1,tree,80A-65A,4,8,16,1280.0,0.5314,2.0,,,,,0.42039075930093156,,,,,,,3,6,,,,,,,,,1.3118650213194138,25A,0
S1,tree,80A-65A,4,8,16,1280.0,0.5314,2.0,,,,,0.4213746580669211,,,,,,,3,7,,,,,,,,,0.3279662553298812,25A,6
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.0,,,,,0.2862162198334666,,,,,,,3,0,,,,,,,,,0.5733119056635094,50A,3
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.0,,,,,0.2863505898113565,,,,,,,3,1,,,,,,,,,0.4389419277736062,50A,5
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.0,,,,,0.28646704379219445,,,,,,,3,2,,,,,,,,,0.32248794693567895,50A,6
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.0,,,,,0.2859854688797166,,,,,,,3,3,,,,,,,,,0.8040628594135346,40A,1
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.0,,,,,0.2862749315091055,,,,,,,3,4,,,,,,,,,0.5146002300246422,40A,4
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.0,,,,,0.2861482933783432,,,,,,,3,5,,,,,,,,,0.6412383607869443,32A,2
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.0,,,,,0.28561023063904056,,,,,,,3,6,,,,,,,,,1.1793011000895692,25A,0
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.0,,,,,0.28649470646410774,,,,,,,3,7,,,,,,,,,0.2948252750223923,25A,7
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,,,,0.2858843765702351,,,,,,,3,0,,,,,,,,,0.9051551688950554,50A,3
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,,,,0.28609652231294486,,,,,,,3,1,,,,,,,,,0.693009426185276,50A,5
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,,,,0.2862803819566267,,,,,,,3,2,,,,,,,,,0.5091497825034375,50A,6
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,,,,0.2854996523372418,,,,,,,3,3,,,,,,,,,1.2898794018883497,40A,1
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,,,,0.2859640089219216,,,,,,,3,4,,,,,,,,,0.825522817208546,40A,4
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,,,,0.28574789921760335,,,,,,,3,5,,,,,,,,,1.0416325215267808,32A,2
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,,,,0.2848175000822074,,,,,,,3,6,,,,,,,,,1.9720316569227236,25A,0
S1,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,,,,0.28629652382489945,,,,,,,3,7,,,,,,,,,0.4930079142306809,25A,7
S1,tree,80A-65A,4,8,24,1920.0,0.5314,2.0,,,,,0.2855172610760978,,,,,,,3,0,,,,,,,,,1.2722706630323155,50A,3
S1,tree,80A-65A,4,8,24,1920.0,0.5314,2.0,,,,,0.285815449512746,,,,,,,3,1,,,,,,,,,0.9740822263841209,50A,5
S1,tree,80A-65A,4,8,24,1920.0,0.5314,2.0,,,,,0.28607387949117447,,,,,,,3,2,,,,,,,,,0.7156522479556671,50A,7
S1,tree,80A-65A,4,8,24,1920.0,0.5314,2.0,,,,,0.2849452942821335,,,,,,,3,3,,,,,,,,,1.8442374569966336,40A,1
S1,tree,80A-65A,4,8,24,1920.0,0.5314,2.0,,,,,0.28560921976665227,,,,,,,3,4,,,,,,,,,1.1803119724778655,40A,4
S1,tree,80A-65A,4,8,24,1920.0,0.5314,2.0,,,,,0.28527984079546126,,,,,,,3,5,,,,,,,,,1.5096909436688732,32A,2
S1,tree,80A-65A,4,8,24,1920.0,0.5314,2.0,,,,,0.2838378354411614,,,,,,,3,6,,,,,,,,,2.951696297968709,25A,0
S1,tree,80A-65A,4,8,24,1920.0,0.5314,2.0,,,,,0.28605160766463794,,,,,,,3,7,,,,,,,,,0.7379240744921911,25A,6
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.0,,,,,0.14979533288589836,,,,,,,3,0,,,,,,,,,0.8957998525992439,50A,3
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.0,,,,,0.15000528597635132,,,,,,,3,1,,,,,,,,,0.6858467621462805,50A,5
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.0,,,,,0.15018724532141053,,,,,,,3,2,,,,,,,,,0.5038874170870677,50A,6
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.0,,,,,0.14943478452066394,,,,,,,3,3,,,,,,,,,1.2563482178336582,40A,1
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.0,,,,,0.14988706987908407,,,,,,,3,4,,,,,,,,,0.8040628594135346,40A,4
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.0,,,,,0.14968919779976797,,,,,,,3,5,,,,,,,,,1.0019349387296317,32A,2
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.0,,,,,0.1488484747696076,,,,,,,3,6,,,,,,,,,1.8426579688899936,25A,0
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.0,,,,,0.15023046824627512,,,,,,,3,7,,,,,,,,,0.4606644922224845,25A,7
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.14927682778709905,,,,,,,3,0,,,,,,,,,1.4143049513985484,50A,3
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.14960830551008314,,,,,,,3,1,,,,,,,,,1.0828272284144624,50A,5
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.14989558620333593,,,,,,,3,2,,,,,,,,,0.7955465351616731,50A,6
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.148675696173047,,,,,,,3,3,,,,,,,,,2.0154365654506123,40A,1
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.1494012533366092,,,,,,,3,4,,,,,,,,,1.2898794018884052,40A,4
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.14906358192361197,,,,,,,3,5,,,,,,,,,1.6275508148856366,32A,2
