case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high
P1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,0.25,,0.05,10000,,,,,,,,,,0.0984739937091282,0.0003853035385922901,0.09764124954340724,0.09867675095444592,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,1.0,0.5,,0.05,10000,,,,,,,,,,0.09820368283611822,0.000891992688159196,0.09632245290583524,0.09867675095444592,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,1.5,0.75,,0.05,10000,,,,,,,,,,0.09781365507398454,0.0015995532049145132,0.09457021051953723,0.09867675095444592,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,2.0,1.0,,0.05,10000,,,,,,,,,,0.09721857591175911,0.0027026619323516376,0.09204809363953054,0.09867675095444592,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,1.25,,0.05,10000,,,,,,,,,,0.0963834214674661,0.004352233853592454,0.08851360083305247,0.09867675095444592,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,1.5,,0.05,10000,,,,,,,,,,0.09489494897701763,0.008825060180113123,0.08224716785244057,0.09867675095444592,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,0.25,,0.1,10000,,,,,,,,,,0.09827323379819453,0.0005331691923743178,0.09718158177892466,0.09847346324615494,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,1.0,0.5,,0.1,10000,,,,,,,,,,0.09773052780671515,0.001233374690618024,0.09519277075908993,0.0981527833846853,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,1.5,0.75,,0.1,10000,,,,,,,,,,0.09696015526238273,0.0021615951761276924,0.09265020161186635,0.09764428223139722,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,2.0,1.0,,0.1,10000,,,,,,,,,,0.09573985748231134,0.0037583063554771277,0.08855431621319333,0.09687016963804683,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,1.25,,0.1,10000,,,,,,,,,,0.0940183811062116,0.006017058198391665,0.08265085248147991,0.0957390938723752,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,1.5,,0.1,10000,,,,,,,,,,0.09126527902164816,0.01134363913294054,0.07350732582122999,0.09442217856512128,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,0.25,,0.2,10000,,,,,,,,,,0.09787401505752794,0.0007137947483557214,0.09651663328688963,0.0980113901284575,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,1.0,0.5,,0.2,10000,,,,,,,,,,0.09678010131840166,0.001615485269917661,0.09363819058044541,0.09710544870856547,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,1.5,0.75,,0.2,10000,,,,,,,,,,0.09518113023893562,0.002947683660418566,0.08948529651502808,0.09579078974795921,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,2.0,1.0,,0.2,10000,,,,,,,,,,0.09303846922814041,0.004713585672771682,0.08406376801976662,0.09401008719020792,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,1.25,,0.2,10000,,,,,,,,,,0.08976111784900292,0.008031938558007698,0.07491498493377545,0.09161057766761657,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,1.5,,0.2,10000,,,,,,,,,,0.08443841383118203,0.01484603817690396,0.05938166543147908,0.08810604109145204,0.09828748394261476,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,0.25,,0.3,10000,,,,,,,,,,0.09745554974170771,0.0008518930910659285,0.09585392452956301,0.09758417977904699,0.09867675095444592,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,1.0,0.5,,0.3,10000,,,,,,,,,,0.09581250142900719,0.0018762718009285152,0.09231281064110543,0.0960801461909557,0.09844780191538603,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,1.5,0.75,,0.3,10000,,,,,,,,,,0.09354154205610732,0.003282943578974982,0.08744147210820191,0.09407240046169879,0.09790047258762716,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,2.0,1.0,,0.3,10000,,,,,,,,,,0.09031559889970664,0.005348971756461267,0.08039951337607315,0.09118765911963189,0.09723708941461413,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,1.25,,0.3,10000,,,,,,,,,,0.08574424065103058,0.008861324070192378,0.06951062356225086,0.08763029865654284,0.09622416374411698,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,1.5,,0.3,10000,,,,,,,,,,0.0787077215385833,0.016227216591028673,0.050541347785247485,0.08245398229392238,0.0949842893504166,1.0,0.9996159875222334,0.9999999999999999
P1,tree,80A-65A,4,8,32,2560.0,0.6,0.5,0.25,,0.05,10000,,,,,,,,,,0.1670789440111782,0.0003798238258559614,0.16627051433370857,0.1672767509544459,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,1.0,0.5,,0.05,10000,,,,,,,,,,0.1668114536539253,0.0008772458645030079,0.1649507855711854,0.1672767509544459,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,1.5,0.75,,0.05,10000,,,,,,,,,,0.1664210245708521,0.0016230928831840908,0.1632054919087281,0.1672767509544459,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,2.0,1.0,,0.05,10000,,,,,,,,,,0.16578948408017827,0.0028201107770533035,0.16034935364527486,0.1672767509544459,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,2.5,1.25,,0.05,10000,,,,,,,,,,0.16500558784378266,0.004355629913764614,0.15703908156996382,0.1672767509544459,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,3.0,1.5,,0.05,10000,,,,,,,,,,0.16345211182519598,0.008901061104543488,0.1509792434400237,0.1672767509544459,0.1672767509544459,0.0024,0.001613367184247764,0.0035688020336254967
P1,tree,80A-65A,4,8,32,2560.0,0.6,0.5,0.25,,0.1,10000,,,,,,,,,,0.16688352570052736,0.0005216416106636559,0.16581425993557308,0.16708910815741682,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,1.0,0.5,,0.1,10000,,,,,,,,,,0.16634488441879122,0.0012463289093370552,0.16383504351770198,0.16681297655707306,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,1.5,0.75,,0.1,10000,,,,,,,,,,0.16551536214202453,0.0022161754172089153,0.16097518593314766,0.1661815596858599,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,2.0,1.0,,0.1,10000,,,,,,,,,,0.16434937877964856,0.003767491369076402,0.15719568125449068,0.1654557953453183,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,2.5,1.25,,0.1,10000,,,,,,,,,,0.1625174465059686,0.006434667047553197,0.15067154503395813,0.1644375579147422,0.1672767509544459,0.0005,0.0002135852753354596,0.001170043189953315
P1,tree,80A-65A,4,8,32,2560.0,0.6,3.0,1.5,,0.1,10000,,,,,,,,,,0.16004192263253472,0.011278973825347751,0.1422833448000989,0.163061182152592,0.1672767509544459,0.0037,0.002685632352621393,0.005095538432809675
P1,tree,80A-65A,4,8,32,2560.0,0.6,0.5,0.25,,0.2,10000,,,,,,,,,,0.16646426527375724,0.0007245895807418326,0.16508897868066336,0.1666070823115534,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,1.0,0.5,,0.2,10000,,,,,,,,,,0.16537083180054116,0.001631359561407301,0.16223893879478757,0.16567868373977063,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,1.5,0.75,,0.2,10000,,,,,,,,,,0.16379681463614323,0.002900381505681818,0.1582216702300332,0.16438114619181673,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,2.0,1.0,,0.2,10000,,,,,,,,,,0.16153296204656742,0.004839240468083419,0.1523046344757322,0.16260652520792843,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,2.5,1.25,,0.2,10000,,,,,,,,,,0.15830864627092683,0.007876854221298385,0.14386972145485477,0.16001730456553065,0.1672767509544459,0.001,0.0005432800768105723,0.0018399643760004356
P1,tree,80A-65A,4,8,32,2560.0,0.6,3.0,1.5,,0.2,10000,,,,,,,,,,0.15332483380647702,0.015211990526669545,0.12943529766481424,0.1568535157852018,0.1667408573375114,0.009,0.007328292499415997,0.011048807753750743
P1,tree,80A-65A,4,8,32,2560.0,0.6,0.5,0.25,,0.3,10000,,,,,,,,,,0.16607797897739981,0.0008299175511342917,0.16452631630628217,0.16619940056665045,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,1.0,0.5,,0.3,10000,,,,,,,,,,0.16441663021360958,0.0018533850985379822,0.16098572320862145,0.16467358713322516,0.166992038471542,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,1.5,0.75,,0.3,10000,,,,,,,,,,0.16206094952634434,0.003328420370942081,0.1559053143277941,0.16255970632537414,0.16656176872353654,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,2.0,1.0,,0.3,10000,,,,,,,,,,0.15887422067663612,0.005381432375399337,0.14925361895468542,0.1597699437561037,0.1657764575941156,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.6,2.5,1.25,,0.3,10000,,,,,,,,,,0.15426682365179972,0.009300702950935758,0.1373562450513403,0.1562378447587361,0.16488461413583133,0.0015,0.0009092536302792232,0.0024736068100540184
P1,tree,80A-65A,4,8,32,2560.0,0.6,3.0,1.5,,0.3,10000,,,,,,,,,,0.1473177215891415,0.01859606734841857,0.11965019506212252,0.15105365462494044,0.16337249550449362,0.0168,0.014460192174228097,0.019510917484285486
P1,tree,80A-65A,4,8,32,2560.0,0.7,0.5,0.25,,0.05,10000,,,,,,,,,,0.2670781321157584,0.00038362709577880957,0.26624563183143507,0.2672767509544459,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,1.0,0.5,,0.05,10000,,,,,,,,,,0.2668141470614131,0.0008792985063121195,0.26500323668461206,0.2672767509544459,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,1.5,0.75,,0.05,10000,,,,,,,,,,0.2664001394746726,0.0016356823852332633,0.2630644838389738,0.2672767509544459,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,2.0,1.0,,0.05,10000,,,,,,,,,,0.2658893201316545,0.0025418150794371914,0.2608611329578551,0.2672767509544459,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,2.5,1.25,,0.05,10000,,,,,,,,,,0.2649145393631494,0.004781625669363505,0.2567587986569406,0.2672767509544459,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,3.0,1.5,,0.05,10000,,,,,,,,,,0.26339569423367304,0.00935365710219682,0.25091785928616295,0.2672767509544459,0.2672767509544459,0.0005,0.0002135852753354596,0.001170043189953315
P1,tree,80A-65A,4,8,32,2560.0,0.7,0.5,0.25,,0.1,10000,,,,,,,,,,0.26686661570426184,0.00053950756023619,0.2657614607482011,0.2670680143832159,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,1.0,0.5,,0.1,10000,,,,,,,,,,0.26633417702984624,0.0012151007272989348,0.26382756297156384,0.2667434067388962,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,1.5,0.75,,0.1,10000,,,,,,,,,,0.2655120125637244,0.002248673567080671,0.2609420272468461,0.26623942238140874,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,2.0,1.0,,0.1,10000,,,,,,,,,,0.26437131440838624,0.0037412166727221604,0.257015189197976,0.26553233131829346,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,2.5,1.25,,0.1,10000,,,,,,,,,,0.2626322856683072,0.006152969512075869,0.25137692456139715,0.26440541318931376,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,3.0,1.5,,0.1,10000,,,,,,,,,,0.2599388153018279,0.010967768657190381,0.24150302807797874,0.26312193211021057,0.2672767509544459,0.0001,1.765221952685649e-05,0.0005662834557441313
P1,tree,80A-65A,4,8,32,2560.0,0.7,0.5,0.25,,0.2,10000,,,,,,,,,,0.2664689659948917,0.0007149183768376969,0.26509911101958866,0.26660304919743794,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,1.0,0.5,,0.2,10000,,,,,,,,,,0.2653566643141115,0.00163522473877075,0.26215771003248195,0.26566695467219814,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,1.5,0.75,,0.2,10000,,,,,,,,,,0.26385423896078136,0.002832035308405934,0.25833380690050767,0.26439455694503267,0.2672767509544459,0.0,0.0,0.00038401247776654115
P1,tree,80A-65A,4,8,32,2560.0,0.7,2.0,1.0,,0.2,10000,,,,,,,,,,0.26164251188936244,0.004700752113899478,0.2527469935858675,0.26262238404319094,0.2672767509544459,0.0,0.0,0.00038401247776654115
