case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,delta_pressure_kpa,pipe_size,ranking
S1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,,,,,0.09819185997064775,,,,,,,3,0,,,,,,,,,0.48489098379816964,50A,3
S1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,,,,,0.09830550629497545,,,,,,,3,1,,,,,,,,,0.37124465947047103,50A,5
S1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,,,,,0.09840399977605949,,,,,,,3,2,,,,,,,,,0.27275117838643226,50A,6
S1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,,,,,0.09800676836649766,,,,,,,3,3,,,,,,,,,0.669982587948259,40A,1
S1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,,,,,0.09824796209815909,,,,,,,3,4,,,,,,,,,0.4287888562868325,40A,4
S1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,,,,,0.09814856892314658,,,,,,,3,5,,,,,,,,,0.5281820312993402,32A,2
S1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,,,,,0.0977304607311018,,,,,,,3,6,,,,,,,,,0.9462902233441234,25A,0
S1,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,,,,,0.09844017839860988,,,,,,,3,7,,,,,,,,,0.23657255583603432,25A,7
S1,tree,80A-65A,4,8,32,2560.0,0.5314,1.0,,,,,0.09765752978882189,,,,,,,3,0,,,,,,,,,1.019221165624029,50A,3
S1,tree,80A-65A,4,8,32,2560.0,0.5314,1.0,,,,,0.09789640974951505,,,,,,,3,1,,,,,,,,,0.7803412049308678,50A,5
S1,tree,80A-65A,4,8,32,2560.0,0.5314,1.0,,,,,0.09810343904878241,,,,,,,3,2,,,,,,,,,0.5733119056635094,50A,6
S1,tree,80A-65A,4,8,32,2560.0,0.5314,1.0,,,,,0.09724730587104405,,,,,,,3,3,,,,,,,,,1.4294450834018702,40A,1
S1,tree,80A-65A,4,8,32,2560.0,0.5314,1.0,,,,,0.09776190610106875,,,,,,,3,4,,,,,,,,,0.9148448533771725,40A,4
S1,tree,80A-65A,4,8,32,2560.0,0.5314,1.0,,,,,0.09753677164638028,,,,,,,3,5,,,,,,,,,1.1399793080656417,32A,2
