case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high
S2b,tree,80A-65A,4,8,32,2560.0,0.55,0.0,0.0,0,,0,0.11727675095444597,,,,,,,,0.11727675095444597,0.0,,,,0.0,,
S2b,tree,80A-65A,4,8,32,2560.0,0.55,1.5,0.75,1,,10000,,,,,,,,,0.11674724620769938,0.0012207065625956318,0.11434910012804543,0.11727675095444597,0.11727675095444597,0.0001,1.765221952685649e-05,0.0005662834557441313
S2b,tree,80A-65A,4,8,32,2560.0,0.55,1.5,0.75,2,,10000,,,,,,,,,0.11621123219787013,0.0016507504852814128,0.11289696014287082,0.11716996515118205,0.11727675095444597,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.55,1.5,0.75,4,,10000,,,,,,,,,0.1151172866647657,0.002222094419149167,0.11069944222956273,0.11565204934419199,0.11727675095444597,0.0001,1.765221952685649e-05,0.0005662834557441313
S2b,tree,80A-65A,4,8,32,2560.0,0.55,1.5,0.75,8,,10000,,,,,,,,,0.11295607114304583,0.0028525031644530655,0.10744799232935053,0.11347851979863513,0.11662125035330669,0.0007,0.00033912200289172947,0.0014443528574059384
S2b,tree,80A-65A,4,8,32,2560.0,0.55,0.0,0.0,0,,0,0.11727675095444597,,,,,,,,0.11727675095444597,0.0,,,,0.0,,
S2b,tree,80A-65A,4,8,32,2560.0,0.55,2.0,1.0,1,,10000,,,,,,,,,0.11635491359624076,0.0020531797712269187,0.11256456197481406,0.11727675095444597,0.11727675095444597,0.0014,0.0008341542630379929,0.0023487829797908017
S2b,tree,80A-65A,4,8,32,2560.0,0.55,2.0,1.0,2,,10000,,,,,,,,,0.1154664668111721,0.0027872071501684583,0.11017684563820053,0.11658752292512027,0.11727675095444597,0.0029,0.002019983350543452,0.004161801854852043
S2b,tree,80A-65A,4,8,32,2560.0,0.55,2.0,1.0,4,,10000,,,,,,,,,0.11365843439452811,0.0036796897971503777,0.10656885098775301,0.11453454999602487,0.11727675095444597,0.0084,0.0067903793044075565,0.010387181763732508
S2b,tree,80A-65A,4,8,32,2560.0,0.55,2.0,1.0,8,,10000,,,,,,,,,0.11019249597811012,0.004849710391857158,0.10116968136826843,0.1111903043386367,0.11598221074111328,0.0389,0.03528387069032534,0.04287026561667095
S2b,tree,80A-65A,4,8,32,2560.0,0.55,0.0,0.0,0,,0,0.11727675095444597,,,,,,,,0.11727675095444597,0.0,,,,0.0,,
S2b,tree,80A-65A,4,8,32,2560.0,0.55,2.5,1.25,1,,10000,,,,,,,,,0.11589687986200606,0.003173461949194173,0.1106246064257816,0.11727675095444597,0.11727675095444597,0.0059,0.004577025249490057,0.007602455881038837
S2b,tree,80A-65A,4,8,32,2560.0,0.55,2.5,1.25,2,,10000,,,,,,,,,0.11429219492630194,0.004913037421878421,0.10577377837270309,0.11591473357536179,0.11727675095444597,0.0195,0.01696858915583909,0.022400446835294553
S2b,tree,80A-65A,4,8,32,2560.0,0.55,2.5,1.25,4,,10000,,,,,,,,,0.11139229530030821,0.006423987123082757,0.0997624706981055,0.11300493801420063,0.11727675095444597,0.0524,0.04820182771100209,0.056941940259094506
S2b,tree,80A-65A,4,8,32,2560.0,0.55,2.5,1.25,8,,10000,,,,,,,,,0.10619419899877156,0.007924857505315753,0.09114330292938956,0.10801592165131177,0.11492800321296065,0.1639,0.15677368959056776,0.1712844435969869
S2b,tree,80A-65A,4,8,32,2560.0,0.55,0.0,0.0,0,,0,0.11727675095444597,,,,,,,,0.11727675095444597,0.0,,,,0.0,,
S2b,tree,80A-65A,4,8,32,2560.0,0.55,3.0,1.5,1,,10000,,,,,,,,,0.11477459456941644,0.0065393333288358835,0.10582188388548314,0.11727675095444597,0.11727675095444597,0.0251,0.02221153060308387,0.02835320444829879
S2b,tree,80A-65A,4,8,32,2560.0,0.55,3.0,1.5,2,,10000,,,,,,,,,0.11236901598632244,0.009524613988318225,0.09857257956330362,0.11495551574901482,0.11727675095444597,0.0575,0.05310484601500794,0.06223500502781544
S2b,tree,80A-65A,4,8,32,2560.0,0.55,3.0,1.5,4,,10000,,,,,,,,,0.10809963427180178,0.011773739112606714,0.08994593400105946,0.11096599313534207,0.11727675095444597,0.1282,0.12178995603743442,0.13489559564103282
S2b,tree,80A-65A,4,8,32,2560.0,0.55,3.0,1.5,8,,10000,,,,,,,,,0.09988856963269971,0.017119914151618797,0.07414641222515966,0.1035848739506732,0.1136858524268016,0.3602,0.3508461961036372,0.3696611737851463
S2b,tree,80A-65A,4,8,32,2560.0,0.56,0.0,0.0,0,,0,0.127276750954446,,,,,,,,0.127276750954446,0.0,,,,0.0,,
S2b,tree,80A-65A,4,8,32,2560.0,0.56,1.5,0.75,1,,10000,,,,,,,,,0.12676315107417155,0.0011646376586749996,0.12440283135928613,0.127276750954446,0.127276750954446,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.56,1.5,0.75,2,,10000,,,,,,,,,0.12616297314027505,0.0017000858371701544,0.12278570449583971,0.12705642447229307,0.127276750954446,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.56,1.5,0.75,4,,10000,,,,,,,,,0.1250874778405508,0.0022596343789345478,0.12060736853655704,0.12564468147022126,0.127276750954446,0.0,0.0,0.00038401247776654115
