case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,critical_inlet_pressure_mpa,extra_pressure_vs_pref
D2,tree,80A-65A,4,8,32,2560.0,0.5314,0.0,,,,,0.09867675095444592,-0.0013232490455540868,False,0.114858,0.317865,0.0,,3,,,,,,,,,,0.532715,0.001315
D2,tree,80A-65A,4,8,32,2560.0,0.5314,0.25,,,,,0.09677577852480698,-0.003224221475193023,False,0.114858,0.317865,0.001901,,3,,,,,,,,,,0.534619,0.003219
D2,tree,80A-65A,4,8,32,2560.0,0.5314,0.5,,,,,0.09473804787807624,-0.005261952121923763,False,0.114858,0.317865,0.003939,,3,,,,,,,,,,0.53667,0.00527
D2,tree,80A-65A,4,8,32,2560.0,0.5314,0.75,,,,,0.0925506061824671,-0.007449393817532901,False,0.114858,0.317865,0.006126,,3,,,,,,,,,,0.538849,0.007449
D2,tree,80A-65A,4,8,32,2560.0,0.5314,1.0,,,,,0.09019893832207265,-0.009801061677927353,False,0.114858,0.317865,0.008478,,3,,,,,,,,,,0.541211,0.009811
D2,tree,80A-65A,4,8,32,2560.0,0.5314,1.25,,,,,0.08766673436325281,-0.012333265636747193,False,0.114858,0.317865,0.01101,,3,,,,,,,,,,0.543738,0.012338
D2,tree,80A-65A,4,8,32,2560.0,0.5314,1.5,,,,,0.08493561550669315,-0.015064384493306854,False,0.114858,0.317865,0.013741,,3,,,,,,,,,,0.546466,0.015066
D2,tree,80A-65A,4,8,32,2560.0,0.5314,1.75,,,,,0.08198480984526614,-0.018015190154733865,False,0.114858,0.317865,0.016692,,3,,,,,,,,,,0.549414,0.018014
D2,tree,80A-65A,4,8,32,2560.0,0.5314,2.0,,,,,0.0787907671624879,-0.02120923283751211,False,0.114858,0.317865,0.019886,,3,,,,,,,,,,0.5526,0.0212
D2,tree,80A-65A,4,8,32,2560.0,0.5314,2.25,,,,,0.07532669935370917,-0.024673300646290836,False,0.114858,0.317865,0.02335,,3,,,,,,,,,,0.556079,0.024679
D2,tree,80A-65A,4,8,32,2560.0,0.5314,2.5,,,,,0.07156202965936806,-0.028437970340631946,False,0.114858,0.317865,0.027115,,3,,,,,,,,,,0.559833,0.028433
D2,tree,80A-65A,4,8,32,2560.0,0.5314,2.75,,,,,0.0674617295354038,-0.0325382704645962,False,0.114858,0.317865,0.031215,,3,,,,,,,,,,0.563934,0.032534
D2,tree,80A-65A,4,8,32,2560.0,0.5314,3.0,,,,,0.06298551633872947,-0.03701448366127054,False,0.114858,0.317865,0.035691,,3,,,,,,,,,,0.56842,0.03702
