case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.0,0.5,,0.05,10000,,,,,,,,,,0.10679745654023051,0.0009001235456031153,0.10487161517177641,0.10727675095444597,0.10727675095444597,0.0004,0.00015556032105416015,0.0010281449467301677
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.5,0.75,,0.05,10000,,,,,,,,,,0.10641602632429976,0.001567995773387723,0.10321337031068388,0.10727675095444597,0.10727675095444597,0.009,0.007328292499415997,0.011048807753750743
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.0,1.0,,0.05,10000,,,,,,,,,,0.10582127240556005,0.0027275358673357545,0.10041744089692302,0.10727675095444597,0.10727675095444597,0.0447,0.04082161554836096,0.04892806621389323
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.5,1.25,,0.05,10000,,,,,,,,,,0.10496690276947129,0.004382395829504452,0.09687004830046415,0.10727675095444597,0.10727675095444597,0.0943,0.0887267606748169,0.10018482704964284
P1b,tree,80A-65A,4,8,32,2560.0,0.54,3.0,1.5,,0.05,10000,,,,,,,,,,0.1034491535879225,0.00837013301854388,0.09044204099182274,0.10727675095444597,0.10727675095444597,0.1643,0.15716643079157733,0.17169139518599513
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.0,0.5,,0.1,10000,,,,,,,,,,0.10633177158979122,0.001233396833515169,0.10379034592402245,0.10675520025539759,0.10727675095444597,0.001,0.0005432800768105723,0.0018399643760004356
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.5,0.75,,0.1,10000,,,,,,,,,,0.10550348073832508,0.002212969000086469,0.10109054618433078,0.10619433022522495,0.10727675095444597,0.0309,0.027684293213190804,0.034475987293449764
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.0,1.0,,0.1,10000,,,,,,,,,,0.10440799434232499,0.0037059313314572865,0.09719547964512838,0.10550425492912877,0.10727675095444597,0.102,0.09622010015657269,0.10808557377572946
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.5,1.25,,0.1,10000,,,,,,,,,,0.10261230405611932,0.006159942870299834,0.09124513717985004,0.10438595929975386,0.10727675095444597,0.2179,0.20991790444368683,0.22609875539626909
P1b,tree,80A-65A,4,8,32,2560.0,0.54,3.0,1.5,,0.1,10000,,,,,,,,,,0.09993197253069375,0.01109134035920204,0.08204679360071544,0.10306802466983228,0.10727675095444597,0.3404,0.3311755332561436,0.34974704352675934
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.0,0.5,,0.2,10000,,,,,,,,,,0.10540973814401988,0.0015970233772138842,0.1023095505754464,0.10572847535032065,0.10727675095444597,0.0058,0.004489655555780853,0.0074899023772435945
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.5,0.75,,0.2,10000,,,,,,,,,,0.10375874008300143,0.0029319814416130735,0.09806049722427138,0.10436633155318782,0.10727675095444597,0.1077,0.10177392475010258,0.11392737143995305
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.0,1.0,,0.2,10000,,,,,,,,,,0.1016444228757833,0.004685270148212321,0.09277179896109793,0.10263269868130565,0.10727675095444597,0.2881,0.2793062968994612,0.29705644758861627
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.5,1.25,,0.2,10000,,,,,,,,,,0.09827315308692214,0.008164421252061356,0.08315883961578772,0.10021043295440563,0.10727675095444597,0.4858,0.47601128548318156,0.49559962047118694
P1b,tree,80A-65A,4,8,32,2560.0,0.54,3.0,1.5,,0.2,10000,,,,,,,,,,0.09319742719479725,0.017346897854773034,0.06956681221230496,0.09677809157599526,0.10697990532377794,0.6534,0.6440153122571286,0.6626668727146925
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.0,0.5,,0.3,10000,,,,,,,,,,0.10441511588241183,0.0018843899534734948,0.10095001037012341,0.10468543154939895,0.10709619739422438,0.0232,0.020427437633441816,0.026338756665356355
P1b,tree,80A-65A,4,8,32,2560.0,0.54,1.5,0.75,,0.3,10000,,,,,,,,,,0.10210220849669413,0.003280969728070511,0.09595736485293475,0.1025957859656246,0.10650217585153814,0.2309,0.22274466912906402,0.2392620063864699
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.0,1.0,,0.3,10000,,,,,,,,,,0.09893001135358045,0.005380916644541094,0.08893800487252058,0.09988106790538903,0.10579060968170824,0.5085,0.49870003312236805,0.5182934386655098
P1b,tree,80A-65A,4,8,32,2560.0,0.54,2.5,1.25,,0.3,10000,,,,,,,,,,0.09426865095801114,0.00921294796004279,0.07766375649885109,0.09608131439400225,0.10484428631493908,0.7284,0.7195957439392596,0.7370288391608967
P1b,tree,80A-65A,4,8,32,2560.0,0.54,3.0,1.5,,0.3,10000,,,,,,,,,,0.08685604225391995,0.021029862838226044,0.058157919137785924,0.09082768380929605,0.10343823483893352,0.8564,0.849389695068628,0.8631365808372201
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.0,0.5,,0.05,10000,,,,,,,,,,0.11680910571850318,0.000865879269741817,0.11499688233614971,0.11727675095444597,0.11727675095444597,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.5,0.75,,0.05,10000,,,,,,,,,,0.11640454893568558,0.001658181234726312,0.11309217287288777,0.11727675095444597,0.11727675095444597,0.0001,1.765221952685649e-05,0.0005662834557441313
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.0,1.0,,0.05,10000,,,,,,,,,,0.11581320942021607,0.002750368785329344,0.11046103103396673,0.11727675095444597,0.11727675095444597,0.0034,0.0024341670009014214,0.004747234192016306
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.5,1.25,,0.05,10000,,,,,,,,,,0.11487648952494232,0.004630609955677417,0.1065749572711022,0.11727675095444597,0.11727675095444597,0.0169,0.014552820351583562,0.019618212504434462
P1b,tree,80A-65A,4,8,32,2560.0,0.55,3.0,1.5,,0.05,10000,,,,,,,,,,0.11335434357403897,0.00968757393593301,0.10083664863832803,0.11725898621106269,0.11727675095444597,0.0456,0.041682684252804296,0.049866306286989924
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.0,0.5,,0.1,10000,,,,,,,,,,0.11633752721372716,0.0012141445200085134,0.1138745733575421,0.11674944789477172,0.11727675095444597,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.5,0.75,,0.1,10000,,,,,,,,,,0.11556661519000286,0.0021814578329235877,0.11123634472214676,0.11625191734167017,0.11727675095444597,0.0002,5.4847779209068104e-05,0.0007290110935663664
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.0,1.0,,0.1,10000,,,,,,,,,,0.1144019730822904,0.0036186943039060106,0.10747478652641049,0.11548853886074525,0.11727675095444597,0.007,0.005544595653529791,0.008834040649548016
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.5,1.25,,0.1,10000,,,,,,,,,,0.11265991739675069,0.00635925770252099,0.10143322319873939,0.11441023281191547,0.11727675095444597,0.0413,0.03757284834299756,0.045379444704105466
P1b,tree,80A-65A,4,8,32,2560.0,0.55,3.0,1.5,,0.1,10000,,,,,,,,,,0.11012038355572155,0.011526606206334996,0.09315637092314437,0.11313618611628719,0.11727675095444597,0.0971,0.09145033042875964,0.10305910682582464
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.0,0.5,,0.2,10000,,,,,,,,,,0.11538132106827524,0.0016429885216795114,0.11213239732974484,0.11570555431818359,0.11727675095444597,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.5,0.75,,0.2,10000,,,,,,,,,,0.11378638087379318,0.0029266367036565647,0.10816661392167524,0.11434820376655867,0.11727675095444597,0.0016,0.0009851240465054562,0.0025976595913322323
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.0,1.0,,0.2,10000,,,,,,,,,,0.1115299578798262,0.004831129109676475,0.1022163570025131,0.1125939322388298,0.11727675095444597,0.031,0.027778956824769337,0.03458124687937567
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.5,1.25,,0.2,10000,,,,,,,,,,0.10817691600193434,0.008145684614615034,0.09325193306526311,0.11002967781370765,0.11727675095444597,0.1255,0.11915028085143753,0.13213734449440961
P1b,tree,80A-65A,4,8,32,2560.0,0.55,3.0,1.5,,0.2,10000,,,,,,,,,,0.10318601620961643,0.0166905119672373,0.07915232218748655,0.10685808135526004,0.11684352760184519,0.2662,0.2576283664567381,0.2749511977778654
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.0,0.5,,0.3,10000,,,,,,,,,,0.11440625158054263,0.0018983377964262203,0.11076982079858809,0.11470598201081139,0.11701701561917054,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.5,0.75,,0.3,10000,,,,,,,,,,0.11210594070081288,0.003296200838587869,0.10585460040386122,0.11261445831813494,0.11657660673286399,0.0033,0.0023508088919576772,0.004630669103455604
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.0,1.0,,0.3,10000,,,,,,,,,,0.10888533300324173,0.005442594678095928,0.0990011852233774,0.10982278217843396,0.1158258505733291,0.0619,0.0573430597184073,0.06679341201461172
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.5,1.25,,0.3,10000,,,,,,,,,,0.104084401321157,0.009730558778416382,0.08730315465113724,0.10611695322736789,0.11470756568307981,0.2449,0.23657046396693296,0.2534254591992235
P1b,tree,80A-65A,4,8,32,2560.0,0.55,3.0,1.5,,0.3,10000,,,,,,,,,,0.0968521466699356,0.017646455657187553,0.06862946222658782,0.10077614105781078,0.11336565785649119,0.4698,0.4600313610244688,0.47959183332918814
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.0,0.5,,0.05,10000,,,,,,,,,,0.12682599217569288,0.0008644041903944839,0.1249940847431923,0.127276750954446,0.127276750954446,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.5,0.75,,0.05,10000,,,,,,,,,,0.12640181794437114,0.0016463828009581159,0.12311628129590077,0.127276750954446,0.127276750954446,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.56,2.0,1.0,,0.05,10000,,,,,,,,,,0.12583114824081143,0.0028250427129903857,0.12068264805851449,0.127276750954446,0.127276750954446,0.0008,0.0004054288421193391,0.0015779692156827755
P1b,tree,80A-65A,4,8,32,2560.0,0.56,2.5,1.25,,0.05,10000,,,,,,,,,,0.12494068638361527,0.004364522644315113,0.11671866846128189,0.127276750954446,0.127276750954446,0.0044,0.003279423444651482,0.005901209723310713
P1b,tree,80A-65A,4,8,32,2560.0,0.56,3.0,1.5,,0.05,10000,,,,,,,,,,0.1233578798327886,0.008355918661059449,0.11038225388054636,0.12715443695564801,0.127276750954446,0.0174,0.015016297633923488,0.020154351209616776
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.0,0.5,,0.1,10000,,,,,,,,,,0.12633146339741744,0.001221895655852483,0.1238779786312865,0.1267545075967689,0.127276750954446,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.5,0.75,,0.1,10000,,,,,,,,,,0.1255404029295402,0.0022035891268115224,0.12114567403391682,0.12621978624854718,0.127276750954446,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.56,2.0,1.0,,0.1,10000,,,,,,,,,,0.1243842804326844,0.0036901012520343915,0.11720104576978166,0.1255026782520646,0.127276750954446,0.0012,0.0006865974508135609,0.0020964933970063406
P1b,tree,80A-65A,4,8,32,2560.0,0.56,2.5,1.25,,0.1,10000,,,,,,,,,,0.12260451745917834,0.006648970988844961,0.11109769629094345,0.1245209368880254,0.127276750954446,0.0125,0.010501982950160282,0.014872429215662097
P1b,tree,80A-65A,4,8,32,2560.0,0.56,3.0,1.5,,0.1,10000,,,,,,,,,,0.12003524684783547,0.010188343465212725,0.1018743859323909,0.1230258202564503,0.127276750954446,0.0435,0.0396742236093285,0.04767637978287234
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.0,0.5,,0.2,10000,,,,,,,,,,0.12541235897809283,0.0016036226486136947,0.12230226730831088,0.1257202710857106,0.127276750954446,0.0,0.0,0.00038401247776654115
