pipe_size,D_mm,mu_mm,sigma_mm,K_mu_minus_sigma,K_mu,K_mu_plus_sigma,gain_down,loss_up,asymmetry_ratio,E_K_stochastic,jensen_ratio
25A,26.64,1.0,0.5,0.5827,0.6832,0.8063,0.1005,0.1231,1.225,0.6949,1.0171
25A,26.64,1.5,0.75,0.6304,0.8063,1.0481,0.1759,0.2417,1.374,0.8405,1.0424
25A,26.64,2.0,1.0,0.6832,0.9585,1.3876,0.2753,0.4291,1.558,1.0405,1.0855
25A,26.64,2.5,1.25,0.7416,1.1484,1.8765,0.4068,0.7281,1.79,1.3283,1.1567
25A,26.64,3.0,1.5,0.8063,1.3876,2.6008,0.5813,1.2132,2.087,1.7745,1.2788
32A,35.04,1.0,0.5,0.5614,0.6325,0.7152,0.0711,0.0827,1.163,0.6386,1.0096
32A,35.04,1.5,0.75,0.5956,0.7152,0.8665,0.1196,0.1512,1.264,0.7316,1.0228
32A,35.04,2.0,1.0,0.6325,0.812,1.0598,0.1795,0.2479,1.381,0.8475,1.0438
32A,35.04,2.5,1.25,0.6723,0.9256,1.3103,0.2533,0.3847,1.519,0.9952,1.0752
32A,35.04,3.0,1.5,0.7152,1.0598,1.6393,0.3446,0.5795,1.682,1.1881,1.1211
40A,40.9,1.0,0.5,0.552,0.611,0.6781,0.059,0.0671,1.137,0.6153,1.0069
40A,40.9,1.5,0.75,0.5806,0.6781,0.797,0.0975,0.1189,1.219,0.6892,1.0163
40A,40.9,2.0,1.0,0.611,0.7547,0.9431,0.1436,0.1884,1.312,0.7778,1.0307
40A,40.9,2.5,1.25,0.6435,0.8423,1.1243,0.1989,0.282,1.418,0.8857,1.0515
40A,40.9,3.0,1.5,0.6781,0.9431,1.3511,0.265,0.408,1.54,1.0191,1.0806
50A,52.51,1.0,0.5,0.54,0.584,0.6327,0.044,0.0486,1.104,0.5865,1.0042
50A,52.51,1.5,0.75,0.5615,0.6327,0.7155,0.0712,0.0828,1.164,0.6387,1.0096
50A,52.51,2.0,1.0,0.584,0.6865,0.8124,0.1024,0.1259,1.229,0.6986,1.0177
50A,52.51,2.5,1.25,0.6077,0.7461,0.9262,0.1384,0.1801,1.302,0.7677,1.0289
50A,52.51,3.0,1.5,0.6327,0.8124,1.0607,0.1797,0.2483,1.382,0.848,1.0439
