case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,critical_inlet_pressure_mpa,extra_pressure_vs_pref
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,0.0,,,,,0.10000003472214611,3.472214610278357e-08,BOUNDARY,0.114858,0.317865,0.0,,3,,,,,,,,,,0.532724,1e-06
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,0.25,,,,,0.09809906229250717,-0.0019009377074928335,FAIL,0.114858,0.317865,0.001901,,3,,,,,,,,,,0.534624,0.0019
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,0.5,,,,,0.09606133164577643,-0.003938668354223573,FAIL,0.114858,0.317865,0.003939,,3,,,,,,,,,,0.536662,0.003939
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,0.75,,,,,0.0938738899501673,-0.0061261100498327115,FAIL,0.114858,0.317865,0.006126,,3,,,,,,,,,,0.538849,0.006126
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,1.0,,,,,0.09152222208977284,-0.008477777910227163,FAIL,0.114858,0.317865,0.008478,,3,,,,,,,,,,0.541202,0.008478
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,1.25,,,,,0.088990018130953,-0.011009981869047003,FAIL,0.114858,0.317865,0.01101,,3,,,,,,,,,,0.543733,0.01101
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,1.5,,,,,0.08625889927439334,-0.013741100725606664,FAIL,0.114858,0.317865,0.013741,,3,,,,,,,,,,0.546464,0.01374
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,1.75,,,,,0.08330809361296633,-0.016691906387033675,FAIL,0.114858,0.317865,0.016692,,3,,,,,,,,,,0.549415,0.016692
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.0,,,,,0.08011405093018809,-0.01988594906981192,FAIL,0.114858,0.317865,0.019886,,3,,,,,,,,,,0.552609,0.019886
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.25,,,,,0.07664998312140936,-0.023350016878590646,FAIL,0.114858,0.317865,0.02335,,3,,,,,,,,,,0.556073,0.02335
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.5,,,,,0.07288531342706825,-0.027114686572931757,FAIL,0.114858,0.317865,0.027115,,3,,,,,,,,,,0.559837,0.027114
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,2.75,,,,,0.06878501330310399,-0.031214986696896013,FAIL,0.114858,0.317865,0.031215,,3,,,,,,,,,,0.563939,0.031216
D2,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,3.0,,,,,0.06430880010642966,-0.03569119989357035,FAIL,0.114858,0.317865,0.035691,,3,,,,,,,,,,0.568414,0.03569
