case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,pipe_size,delta_pressure_kpa,baseline_terminal_mpa,ranking
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,0.5,,,,,0.09951514373834794,-0.00048485626165206686,FAIL,,,,,,0,,,,,,,,,50A,0.4849,0.10000003472214611,4
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,0.5,,,,,0.09962879006267564,-0.00037120993732436824,FAIL,,,,,,1,,,,,,,,,50A,0.3712,0.10000003472214611,6
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,0.5,,,,,0.09972728354375968,-0.0002727164562403295,FAIL,,,,,,2,,,,,,,,,50A,0.2728,0.10000003472214611,7
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,0.5,,,,,0.09933005213419785,-0.0006699478658021563,FAIL,,,,,,3,,,,,,,,,40A,0.67,0.10000003472214611,2
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,0.5,,,,,0.09957124586585928,-0.0004287541341407297,FAIL,,,,,,4,,,,,,,,,40A,0.4288,0.10000003472214611,5
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,0.5,,,,,0.09947185269084677,-0.0005281473091532374,FAIL,,,,,,5,,,,,,,,,32A,0.5282,0.10000003472214611,3
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,0.5,,,,,0.09905374449880198,-0.0009462555011980206,FAIL,,,,,,6,,,,,,,,,25A,0.9463,0.10000003472214611,1
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,0.5,,,,,0.09976346216631007,-0.00023653783368993153,FAIL,,,,,,7,,,,,,,,,25A,0.2366,0.10000003472214611,8
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,1.0,,,,,0.09898081355652208,-0.0010191864434779263,FAIL,,,,,,0,,,,,,,,,50A,1.0192,0.10000003472214611,4
S1,tree,80A-65A,4,8,32,2560.0,0.5327232837677002,1.0,,,,,0.09921969351721524,-0.000780306482784765,FAIL,,,,,,1,,,,,,,,,50A,0.7803,0.10000003472214611,6
