campaign,topology,inlet_pressure_mpa,total_flow_lpm,bead_height_mm,terminal_mpa,pass_fail,pressure_margin_mpa,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa
A,uni,0.532723,1600,0.0,0.362221,PASS,0.262221,0.046336,0.124166,0.0,0.015714,0.0,0.032681
A,bi,0.532723,1600,0.0,0.361107,PASS,0.261107,0.035625,0.13599,0.0,0.001192,0.015636,0.032681
A,uni,0.532723,1600,0.5,0.360682,PASS,0.260682,0.046336,0.124166,0.001539,0.015714,0.0,0.032681
A,bi,0.532723,1600,0.5,0.359568,PASS,0.259568,0.035625,0.13599,0.001539,0.001192,0.015636,0.032681
A,uni,0.532723,1600,1.0,0.358909,PASS,0.258909,0.046336,0.124166,0.003312,0.015714,0.0,0.032681
A,bi,0.532723,1600,1.0,0.357795,PASS,0.257795,0.035625,0.13599,0.003312,0.001192,0.015636,0.032681
A,uni,0.532723,1600,1.5,0.356853,PASS,0.256853,0.046336,0.124166,0.005368,0.015714,0.0,0.032681
A,bi,0.532723,1600,1.5,0.355739,PASS,0.255739,0.035625,0.13599,0.005368,0.001192,0.015636,0.032681
A,uni,0.532723,1600,2.0,0.354453,PASS,0.254453,0.046336,0.124166,0.007768,0.015714,0.0,0.032681
A,bi,0.532723,1600,2.0,0.353339,PASS,0.253339,0.035625,0.13599,0.007768,0.001192,0.015636,0.032681
A,uni,0.532723,1600,2.5,0.351629,PASS,0.251629,0.046336,0.124166,0.010592,0.015714,0.0,0.032681
A,bi,0.532723,1600,2.5,0.350515,PASS,0.250515,0.035625,0.13599,0.010592,0.001192,0.015636,0.032681
A,uni,0.532723,1600,3.0,0.348279,PASS,0.248279,0.046336,0.124166,0.013942,0.015714,0.0,0.032681
A,bi,0.532723,1600,3.0,0.347165,PASS,0.247165,0.035625,0.13599,0.013942,0.001192,0.015636,0.032681
A,uni,0.532723,1920,0.0,0.288113,PASS,0.188113,0.065812,0.178799,0.0,0.022429,0.0,0.047061
A,bi,0.532723,1920,0.0,0.286335,PASS,0.186335,0.050561,0.195827,0.0,0.001691,0.022516,0.047061
A,uni,0.532723,1920,0.5,0.285897,PASS,0.185897,0.065812,0.178799,0.002216,0.022429,0.0,0.047061
A,bi,0.532723,1920,0.5,0.284119,PASS,0.184119,0.050561,0.195827,0.002216,0.001691,0.022516,0.047061
A,uni,0.532723,1920,1.0,0.283344,PASS,0.183344,0.065812,0.178799,0.004769,0.022429,0.0,0.047061
A,bi,0.532723,1920,1.0,0.281566,PASS,0.181566,0.050561,0.195827,0.004769,0.001691,0.022516,0.047061
A,uni,0.532723,1920,1.5,0.280383,PASS,0.180383,0.065812,0.178799,0.007729,0.022429,0.0,0.047061
A,bi,0.532723,1920,1.5,0.278605,PASS,0.178605,0.050561,0.195827,0.007729,0.001691,0.022516,0.047061
A,uni,0.532723,1920,2.0,0.276927,PASS,0.176927,0.065812,0.178799,0.011186,0.022429,0.0,0.047061
