campaign,topology,total_flow_lpm,bead_height_mm,critical_inlet_mpa,terminal_at_critical_mpa,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa,bisect_iterations,p_reduction_vs_uni_mpa,p_reduction_pct
B,uni,2560.0,0.0,0.53281,0.100089,0.114858,0.317865,0.0,0.039406,0.0,0.083664,10,0.0,0.0
B,bi,2560.0,0.0,0.53633,0.10004,0.088151,0.348137,0.0,0.002942,0.040029,0.083664,10,-0.00352,-0.66
B,uni,2560.0,0.5,0.53672,0.100057,0.114858,0.317865,0.003939,0.039406,0.0,0.083664,10,0.0,0.0
B,bi,2560.0,0.5,0.54023,0.100008,0.088151,0.348137,0.003939,0.002942,0.040029,0.083664,10,-0.00352,-0.66
B,uni,2560.0,1.0,0.54141,0.100205,0.114858,0.317865,0.008478,0.039406,0.0,0.083664,10,0.0,0.0
B,bi,2560.0,1.0,0.54492,0.100156,0.088151,0.348137,0.008478,0.002942,0.040029,0.083664,10,-0.00352,-0.65
B,uni,2560.0,1.5,0.54648,0.10002,0.114858,0.317865,0.013741,0.039406,0.0,0.083664,10,0.0,0.0
B,bi,2560.0,1.5,0.55039,0.100362,0.088151,0.348137,0.013741,0.002942,0.040029,0.083664,10,-0.00391,-0.71
B,uni,2560.0,2.0,0.55273,0.100125,0.114858,0.317865,0.019886,0.039406,0.0,0.083664,10,0.0,0.0
B,bi,2560.0,2.0,0.55625,0.100076,0.088151,0.348137,0.019886,0.002942,0.040029,0.083664,10,-0.00352,-0.64
B,uni,2560.0,2.5,0.56016,0.100318,0.114858,0.317865,0.027115,0.039406,0.0,0.083664,10,0.0,0.0
B,bi,2560.0,2.5,0.56367,0.100269,0.088151,0.348137,0.027115,0.002942,0.040029,0.083664,10,-0.00352,-0.63
B,uni,2560.0,3.0,0.56875,0.100336,0.114858,0.317865,0.035691,0.039406,0.0,0.083664,10,0.0,0.0
B,bi,2560.0,3.0,0.57227,0.100287,0.088151,0.348137,0.035691,0.002942,0.040029,0.083664,10,-0.00352,-0.62
